,E_votes_3,E_votes_num,E_votes_mean,E_votes_2,E_votes_std,E_votes_1,E_votes_4,E_likes_mean,E_likes_sum,E_likes_num,E_likes_std,E_dislikes_std,E_dislikes_sum,E_dislikes_num,E_dislikes_mean,E_com_num,E_com_std,E_com_sum,E_com_mean,E_uid,E_target,E_comid
0,98,175,3.2342857142857144,15,0.6494661190064305,2,60,5.25531914893617,247.0,47.0,3.3065684636228765,0.8223294454953988,29.0,47.0,0.6170212765957447,47.0,31.634227180772086,2369.0,50.40425531914894,0_18,1,0
1,9,44,3.6136363636363638,4,0.6547113367438259,0,31,1.4,7.0,5.0,1.51657508881031,0.447213595499958,1.0,5.0,0.2,3.0,14.364307617610164,41.0,13.666666666666666,0_20,1,0
2,2,28,3.6785714285714284,2,0.7723735149271019,1,23,5.4,81.0,15.0,4.067291130821243,0.5936168397046635,4.0,15.0,0.26666666666666666,15.0,49.299376988239636,1305.0,87.0,0_259,1,0
3,1,6,3.8333333333333335,0,0.40824829046386296,0,5,4.0,4.0,1.0,,,1.0,1.0,1.0,1.0,,52.0,52.0,0_269,1,0
4,3,7,3.5714285714285716,0,0.5345224838248488,0,4,3.0,3.0,1.0,,,0.0,1.0,0.0,1.0,,12.0,12.0,0_271,1,0
5,3,5,2.4,1,0.8944271909999159,1,0,0.0,0.0,1.0,,,0.0,1.0,0.0,1.0,,15.0,15.0,0_272,1,0
6,40,207,3.463768115942029,25,0.8345636057174921,7,135,,,,,,,,,,,,,0_31,0,0
7,110,278,2.276978417266187,108,0.7963650766279102,51,9,3.7560975609756095,308.0,82.0,2.5558501067437667,1.019901336071625,67.0,82.0,0.8170731707317073,82.0,46.486497280272026,5307.0,64.71951219512195,0_38,1,0
8,106,118,3.0847457627118646,1,0.30874078930697213,0,11,4.5,9.0,2.0,3.5355339059327378,0.0,0.0,2.0,0.0,2.0,21.213203435596427,100.0,50.0,0_62,1,0
9,12,39,3.5384615384615383,3,0.6426161105878413,0,24,2.6666666666666665,8.0,3.0,2.5166114784235836,4.932882862316247,10.0,3.0,3.3333333333333335,3.0,11.67618659209133,259.0,86.33333333333333,11_10,1,11
10,0,90,4.0,0,0.0,0,90,4.666666666666667,126.0,27.0,3.23443016025056,0.6979824404521129,21.0,27.0,0.7777777777777778,27.0,34.7350574567571,1142.0,42.2962962962963,11_100,1,11
11,7,207,2.8405797101449277,13,1.3964920170079398,69,118,3.5,28.0,8.0,2.0701966780270626,0.3535533905932738,1.0,8.0,0.125,8.0,54.14992415243336,322.0,40.25,11_101,1,11
12,5,151,3.6026490066225167,2,0.973512336498967,17,127,10.454545454545455,115.0,11.0,8.238490594321709,4.1560470729681676,39.0,11.0,3.5454545454545454,11.0,137.51971759450615,1435.0,130.45454545454547,11_102,1,11
13,9,126,3.9126984126984126,1,0.3103505442519152,0,116,5.391304347826087,124.0,23.0,6.147720423308305,1.9641047604141244,30.0,23.0,1.3043478260869565,23.0,95.73984842830647,1906.0,82.8695652173913,11_103,1,11
14,96,174,2.7701149425287355,41,0.7783359962946786,12,25,8.090909090909092,89.0,11.0,5.838742081211422,0.8738628975053029,9.0,11.0,0.8181818181818182,11.0,62.88055054119386,779.0,70.81818181818181,11_107,0,11
15,11,134,1.5597014925373134,41,0.7708133974458179,78,4,4.270833333333333,410.0,96.0,4.50842291638467,3.4327978206111958,329.0,96.0,3.4270833333333335,96.0,105.1091532687672,8725.0,90.88541666666667,11_114,1,11
16,6,92,3.869565217391304,3,0.42497294818489656,0,83,9.625,77.0,8.0,5.50162313711664,4.189698250300543,23.0,8.0,2.875,8.0,101.14054930781083,877.0,109.625,11_116,0,11
17,6,53,3.30188679245283,5,1.1021815022312187,7,35,4.166666666666667,100.0,24.0,4.478612621615397,4.834769901453429,57.0,24.0,2.375,24.0,140.5705699815133,2275.0,94.79166666666667,11_12,1,11
18,10,43,2.372093023255814,9,1.175610394928716,14,10,7.444444444444445,134.0,18.0,5.96284793999944,1.8550408272025272,21.0,18.0,1.1666666666666667,18.0,65.17487787393509,858.0,47.666666666666664,11_122,1,11
19,47,177,2.209039548022599,69,0.927072422648931,44,17,3.7948717948717947,444.0,117.0,3.644879406591413,2.106891559250339,231.0,117.0,1.9743589743589745,117.0,49.836524682757066,5179.0,44.26495726495727,11_124,1,11
20,190,213,3.0140845070422535,10,0.3290763695190178,0,13,3.5,7.0,2.0,3.5355339059327378,0.7071067811865476,1.0,2.0,0.5,2.0,45.96194077712559,83.0,41.5,11_126,0,11
21,22,55,2.6545454545454548,11,1.0223100533193659,10,12,6.8125,218.0,32.0,4.2459658272826,3.6049920585121242,86.0,32.0,2.6875,32.0,45.61691819716071,2160.0,67.5,11_13,1,11
22,18,53,2.2452830188679247,27,0.7045364099713561,7,1,7.9,79.0,10.0,12.160500720684892,3.596294389136314,24.0,10.0,2.4,10.0,49.21935030498111,491.0,49.1,11_131,1,11
23,39,98,2.173469387755102,31,0.8498090774552801,26,2,8.11111111111111,219.0,27.0,6.9632736185776505,3.364385281011721,71.0,27.0,2.6296296296296298,27.0,81.59955379465735,2217.0,82.11111111111111,11_135,1,11
24,24,41,2.317073170731707,6,0.8786075457860553,11,0,,,,,,,,,,,,,11_137,1,11
25,6,159,3.7169811320754715,6,0.7886222200590454,9,138,6.476190476190476,136.0,21.0,7.474082201976692,5.2865507703623775,76.0,21.0,3.619047619047619,21.0,28.841190781836413,888.0,42.285714285714285,11_139,1,11
26,93,94,2.9893617021276597,1,0.10314212462587935,0,0,14.25,114.0,8.0,6.541078984824621,4.503966505838413,32.0,8.0,4.0,8.0,160.39950124610738,1752.0,219.0,11_140,1,11
