uid,votes_3,votes_num,votes_mean,votes_2,votes_std,votes_1,votes_4,likes_mean,likes_sum,likes_num,likes_std,dislikes_std,dislikes_sum,dislikes_num,dislikes_mean,com_num,com_std,com_sum,com_mean
0_18,386.0,786.0,2.872773536895674,142.0,0.8766448443035721,72.0,186.0,4.261111111111111,767.0,180.0,3.113071896958058,0.8875125129165734,109.0,180.0,0.6055555555555555,180.0,43.579080782097044,10567.0,58.705555555555556
0_21,386.0,786.0,2.872773536895674,142.0,0.8766448443035721,72.0,186.0,4.261111111111111,767.0,180.0,3.113071896958058,0.8875125129165734,109.0,180.0,0.6055555555555555,180.0,43.579080782097044,10567.0,58.705555555555556
0_259,386.0,786.0,2.872773536895674,142.0,0.8766448443035721,72.0,186.0,4.261111111111111,767.0,180.0,3.113071896958058,0.8875125129165734,109.0,180.0,0.6055555555555555,180.0,43.579080782097044,10567.0,58.705555555555556
0_26,386.0,786.0,2.872773536895674,142.0,0.8766448443035721,72.0,186.0,4.261111111111111,767.0,180.0,3.113071896958058,0.8875125129165734,109.0,180.0,0.6055555555555555,180.0,43.579080782097044,10567.0,58.705555555555556
0_269,386.0,786.0,2.872773536895674,142.0,0.8766448443035721,72.0,186.0,4.261111111111111,767.0,180.0,3.113071896958058,0.8875125129165734,109.0,180.0,0.6055555555555555,180.0,43.579080782097044,10567.0,58.705555555555556
0_271,386.0,786.0,2.872773536895674,142.0,0.8766448443035721,72.0,186.0,4.261111111111111,767.0,180.0,3.113071896958058,0.8875125129165734,109.0,180.0,0.6055555555555555,180.0,43.579080782097044,10567.0,58.705555555555556
0_272,386.0,786.0,2.872773536895674,142.0,0.8766448443035721,72.0,186.0,4.261111111111111,767.0,180.0,3.113071896958058,0.8875125129165734,109.0,180.0,0.6055555555555555,180.0,43.579080782097044,10567.0,58.705555555555556
0_38,386.0,786.0,2.872773536895674,142.0,0.8766448443035721,72.0,186.0,4.261111111111111,767.0,180.0,3.113071896958058,0.8875125129165734,109.0,180.0,0.6055555555555555,180.0,43.579080782097044,10567.0,58.705555555555556
0_40,386.0,786.0,2.872773536895674,142.0,0.8766448443035721,72.0,186.0,4.261111111111111,767.0,180.0,3.113071896958058,0.8875125129165734,109.0,180.0,0.6055555555555555,180.0,43.579080782097044,10567.0,58.705555555555556
0_42,386.0,786.0,2.872773536895674,142.0,0.8766448443035721,72.0,186.0,4.261111111111111,767.0,180.0,3.113071896958058,0.8875125129165734,109.0,180.0,0.6055555555555555,180.0,43.579080782097044,10567.0,58.705555555555556
0_60,386.0,786.0,2.872773536895674,142.0,0.8766448443035721,72.0,186.0,4.261111111111111,767.0,180.0,3.113071896958058,0.8875125129165734,109.0,180.0,0.6055555555555555,180.0,43.579080782097044,10567.0,58.705555555555556
0_62,386.0,786.0,2.872773536895674,142.0,0.8766448443035721,72.0,186.0,4.261111111111111,767.0,180.0,3.113071896958058,0.8875125129165734,109.0,180.0,0.6055555555555555,180.0,43.579080782097044,10567.0,58.705555555555556
11_100,3344.0,13024.0,3.2318796068796067,1263.0,1.003477160820153,1378.0,7039.0,6.604562737642586,15633.0,2367.0,5.768493385932555,3.003973211748994,4428.0,2367.0,1.870722433460076,2367.0,113.97754943884156,208022.0,87.88424165610478
11_101,3344.0,13024.0,3.2318796068796067,1263.0,1.003477160820153,1378.0,7039.0,6.604562737642586,15633.0,2367.0,5.768493385932555,3.003973211748994,4428.0,2367.0,1.870722433460076,2367.0,113.97754943884156,208022.0,87.88424165610478
11_102,3344.0,13024.0,3.2318796068796067,1263.0,1.003477160820153,1378.0,7039.0,6.604562737642586,15633.0,2367.0,5.768493385932555,3.003973211748994,4428.0,2367.0,1.870722433460076,2367.0,113.97754943884156,208022.0,87.88424165610478
11_103,3344.0,13024.0,3.2318796068796067,1263.0,1.003477160820153,1378.0,7039.0,6.604562737642586,15633.0,2367.0,5.768493385932555,3.003973211748994,4428.0,2367.0,1.870722433460076,2367.0,113.97754943884156,208022.0,87.88424165610478
11_105,3344.0,13024.0,3.2318796068796067,1263.0,1.003477160820153,1378.0,7039.0,6.604562737642586,15633.0,2367.0,5.768493385932555,3.003973211748994,4428.0,2367.0,1.870722433460076,2367.0,113.97754943884156,208022.0,87.88424165610478
11_107,3344.0,13024.0,3.2318796068796067,1263.0,1.003477160820153,1378.0,7039.0,6.604562737642586,15633.0,2367.0,5.768493385932555,3.003973211748994,4428.0,2367.0,1.870722433460076,2367.0,113.97754943884156,208022.0,87.88424165610478
11_114,3344.0,13024.0,3.2318796068796067,1263.0,1.003477160820153,1378.0,7039.0,6.604562737642586,15633.0,2367.0,5.768493385932555,3.003973211748994,4428.0,2367.0,1.870722433460076,2367.0,113.97754943884156,208022.0,87.88424165610478
11_116,3344.0,13024.0,3.2318796068796067,1263.0,1.003477160820153,1378.0,7039.0,6.604562737642586,15633.0,2367.0,5.768493385932555,3.003973211748994,4428.0,2367.0,1.870722433460076,2367.0,113.97754943884156,208022.0,87.88424165610478
11_12,3344.0,13024.0,3.2318796068796067,1263.0,1.003477160820153,1378.0,7039.0,6.604562737642586,15633.0,2367.0,5.768493385932555,3.003973211748994,4428.0,2367.0,1.870722433460076,2367.0,113.97754943884156,208022.0,87.88424165610478
11_124,3344.0,13024.0,3.2318796068796067,1263.0,1.003477160820153,1378.0,7039.0,6.604562737642586,15633.0,2367.0,5.768493385932555,3.003973211748994,4428.0,2367.0,1.870722433460076,2367.0,113.97754943884156,208022.0,87.88424165610478
