,CEG_interactions_degree,CEG_interactions_w_degree,CEG_interactions_degree_u,CEG_interactions_w_degree_u,CEG_interactions_betweenness_centrality,CEG_interactions_w_betweenness_centrality,CEG_interactions_betweenness_centrality_u,CEG_interactions_w_betweenness_centrality_u,CEG_interactions_NMF1_d,CEG_interactions_NMF1_u,CEG_interactions_NMF2_d,CEG_interactions_NMF2_u,CEG_rel_agree_degree,CEG_rel_agree_w_degree,CEG_rel_agree_degree_u,CEG_rel_agree_w_degree_u,CEG_rel_agree_betweenness_centrality,CEG_rel_agree_w_betweenness_centrality,CEG_rel_agree_betweenness_centrality_u,CEG_rel_agree_w_betweenness_centrality_u,CEG_rel_agree_NMF1_d,CEG_rel_agree_NMF1_u,CEG_rel_agree_NMF2_d,CEG_rel_agree_NMF2_u
0_18,0.8947368421052632,0.8987341772151899,1.0,0.9,0.711111111111111,0.9866071428571429,1.0,1.0,7.27256332536807,6.877101435386167,2.024464097211591,0.5628727844415793,0.8947368421052632,1.0,1.0,1.0,0.711111111111111,0.5174603174603174,1.0,0.5918367346938775,1.2506491492506282,1.5411989456639676,0.8105950141666256,0.0
0_21,0.42105263157894735,0.1308016877637131,0.4166666666666667,0.08333333333333333,0.007407407407407406,0.15178571428571427,0.014084507042253518,0.05997001499250375,0.8672593593712576,0.30247348693326376,0.0,0.0,0.42105263157894735,0.4847799057358483,0.4166666666666667,0.42513863216266173,0.007407407407407406,0.0,0.014084507042253518,0.0,0.23253094446774356,0.03442123731653898,0.9628159050195372,0.872585950215837
0_259,0.5789473684210527,0.35864978902953587,0.5,0.29444444444444445,0.22592592592592595,0.48660714285714296,0.028169014084507036,0.08995502248875563,0.07873024552642105,0.09014702329875009,3.9218080445626136,4.167909688258263,0.5789473684210527,0.5974434352069267,0.5,0.41532774065121575,0.22592592592592595,0.10158730158730157,0.028169014084507036,0.2857142857142857,0.6801953102673398,0.37670267970901794,0.6565718461921615,0.7632457512138441
0_26,0.15789473684210525,0.029535864978902954,0.16666666666666666,0.027777777777777776,0.0,0.0,0.0,0.0,0.060943133694310765,0.1994254497056335,0.29800162961848936,0.107835091268359,0.15789473684210525,0.15362743491628994,0.16666666666666666,0.1700554528650647,0.0,0.0,0.0,0.0,0.2544228640577402,0.0,0.3438119553851083,1.0644548217153236
0_269,0.3157894736842105,0.05907172995780591,0.4166666666666667,0.05555555555555555,0.0,0.0,0.0,0.07446276861569216,0.0,0.08422358180061423,0.5592971906400562,0.5515645129756209,0.3157894736842105,0.3379803568158379,0.4166666666666667,0.3826247689463956,0.0,0.0,0.0,0.0,0.7840606891632462,0.2081327987462976,0.0,1.0153219406098228
0_271,0.05263157894736842,0.008438818565400843,0.08333333333333333,0.011111111111111112,0.0,0.0,0.0,0.0,0.08356968611380022,0.20048568600686878,0.2160562644118349,0.06687314509065985,0.05263157894736842,0.06145097396651598,0.08333333333333333,0.08502772643253236,0.0,0.0,0.0,0.0,0.0,0.0,0.3836733957463811,0.8905084184851638
0_272,0.42105263157894735,0.08016877637130802,0.5,0.07777777777777778,0.05555555555555555,0.35267857142857145,0.028169014084507036,0.08195902048975513,0.06252962025123746,0.2878655349059157,0.5388193855330509,0.3577113103067164,0.42105263157894735,0.45064047575445054,0.5,0.4534812076401726,0.05555555555555555,0.09523809523809525,0.028169014084507036,0.0,0.5509289237285844,0.5510145117793898,0.08094728569550899,0.5185149761005589
0_38,1.0,1.0,0.9166666666666666,1.0,1.0,1.0,0.5774647887323943,0.08695652173913045,4.796261097805513,6.326925872994673,4.88035980330571,3.074278749303596,1.0,0.9506310809025962,0.9166666666666666,0.7930443232793376,1.0,1.0,0.5774647887323943,1.0,1.0429017042003976,1.278380769694729,0.8427987945236959,0.0022460177720244985
0_40,0.15789473684210525,0.02109704641350211,0.16666666666666666,0.022222222222222223,0.0,0.12946428571428573,0.0,0.0,0.3418675164474665,0.15070615346545516,0.0,0.0,0.15789473684210525,0.12290194793303195,0.16666666666666666,0.1700554528650647,0.0,0.07301587301587302,0.0,0.0,0.0,0.03442123731653898,0.8504998996479946,0.872585950215837
0_42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07673029223581151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48673848194885233
