,G_interactions_degree,G_interactions_w_degree,G_interactions_degree_u,G_interactions_w_degree_u,G_interactions_betweenness_centrality,G_interactions_w_betweenness_centrality,G_interactions_betweenness_centrality_u,G_interactions_w_betweenness_centrality_u,G_interactions_NMF1_d,G_interactions_NMF1_u,G_interactions_NMF2_d,G_interactions_NMF2_u,G_rel_agree_degree,G_rel_agree_w_degree,G_rel_agree_degree_u,G_rel_agree_w_degree_u,G_rel_agree_betweenness_centrality,G_rel_agree_w_betweenness_centrality,G_rel_agree_betweenness_centrality_u,G_rel_agree_w_betweenness_centrality_u,G_rel_agree_NMF1_d,G_rel_agree_NMF1_u,G_rel_agree_NMF2_d,G_rel_agree_NMF2_u
0_62,0.02857142857142857,0.007771105616389968,0.038461538461538464,0.012484394506866416,0.0,0.004926198003729423,0.0,0.0013574930927303087,0.0,0.6329625432658443,0.0,0.0,0.02857142857142857,0.027720895425999845,0.038461538461538464,0.03616101429881904,0.0,0.0,0.0,5.114956437651342e-20,0.0,0.0,0.0,0.0
11_10,0.09047619047619047,0.007417873542917697,0.11538461538461539,0.009987515605493134,0.0002009598747206444,0.04222589284946016,0.00035467560009285116,0.029373229151049417,0.0,0.0,0.0,0.0,0.09047619047619047,0.07340903788736997,0.11538461538461539,0.10175541232923498,0.0002009598747206444,1.881140349274553e-05,0.00035467560009285116,5.307224093379747e-14,0.0,0.0,0.0,0.0
11_100,0.4666666666666667,0.12115860120098905,0.5461538461538461,0.15480649188514356,0.05470312391607235,0.20142315443384753,0.09548683587791104,0.14920276380888567,0.0,0.0,0.0,1.092093270095731,0.4666666666666667,0.5188826866055979,0.5461538461538461,0.6187551335575703,0.05470312391607235,0.0028738079318475457,0.09548683587791104,1.698612400334738e-12,0.0,0.0,0.0,0.0
11_101,0.6523809523809524,0.29318262098198516,0.8153846153846154,0.40324594257178525,0.09805074136180168,0.5545699412925182,0.28325091795189394,0.5285354704265072,0.0,0.0,0.0,0.0,0.6523809523809524,0.5722484271800913,0.8153846153846154,0.71172705553363,0.09805074136180168,0.000177418394857073,0.28325091795189394,2.5356304159206057e-05,0.0,0.0,0.0,0.0
11_102,0.680952380952381,0.1303426351112681,0.7,0.14794007490636704,0.14072949492583656,0.5075073427109036,0.15681544582831652,0.3769259381338119,0.0,0.0,0.0,0.0,0.680952380952381,0.6143233991116681,0.7,0.6321316386992635,0.14072949492583656,0.00943322444289857,0.15681544582831652,8.367966512189344e-08,0.0,0.0,0.0,0.0
11_103,0.5428571428571428,0.10243730130695868,0.5923076923076923,0.11735330836454431,0.03980230563003399,0.24474451507183712,0.05137456382692383,0.1836530625541037,0.0,0.0,0.0,0.0,0.5428571428571428,0.5087485230747626,0.5923076923076923,0.5568262519785637,0.03980230563003399,0.052714972151193196,0.05137456382692383,1.2340598025657363e-08,0.0,0.0,0.0,0.0
11_105,0.15714285714285714,0.017308371600141294,0.2153846153846154,0.02372034956304619,0.002161518153144794,0.10485351021529483,0.004628457135485773,0.09748830347400139,0.0,0.8930746606015233,0.0,0.0,0.15714285714285714,0.14964150030886955,0.2153846153846154,0.20813607067343518,0.002161518153144794,0.0015063976666763379,0.004628457135485773,5.7408152187989866e-11,0.0,0.0,0.0,0.0
11_107,0.2761904761904762,0.04344754503708937,0.35384615384615387,0.05930087390761548,0.010172295119569168,0.09963620290877141,0.021399365468048083,0.08865377068810971,0.0,0.0,0.0,0.0,0.2761904761904762,0.25768454581489614,0.35384615384615387,0.33887635802978566,0.010172295119569168,0.00604093410106338,0.021399365468048083,2.931355009030368e-06,0.0,0.0,0.0,0.0
11_108,0.3904761904761905,0.08018368067820558,0.47692307692307695,0.09925093632958802,0.037538922574930585,0.2974399203778832,0.05901612437717955,0.22919506963355835,0.0,0.0,0.0,0.0,0.3904761904761905,0.3998287571665969,0.47692307692307695,0.4952618377643504,0.037538922574930585,0.0,0.05901612437717955,3.7281532694088616e-14,0.0,0.0,0.0,0.0
11_114,0.8333333333333334,0.4171670787707524,0.8769230769230769,0.49063670411985016,0.35537174940651284,0.4599043548417764,0.5975228732401808,0.5629027950644634,0.0,0.0,0.0,0.0,0.8333333333333334,0.5428005294520788,0.8769230769230769,0.5534736191491302,0.35537174940651284,0.16503510818374764,0.5975228732401808,0.041198326203641826,0.0,0.0,0.0,0.0
