,G_interactions_degree,G_interactions_w_degree,G_interactions_degree_u,G_interactions_w_degree_u,G_interactions_betweenness_centrality,G_interactions_w_betweenness_centrality,G_interactions_betweenness_centrality_u,G_interactions_w_betweenness_centrality_u,G_interactions_NMF1_d,G_interactions_NMF1_u,G_interactions_NMF2_d,G_interactions_NMF2_u,G_rel_agree_degree,G_rel_agree_w_degree,G_rel_agree_degree_u,G_rel_agree_w_degree_u,G_rel_agree_betweenness_centrality,G_rel_agree_w_betweenness_centrality,G_rel_agree_betweenness_centrality_u,G_rel_agree_w_betweenness_centrality_u,G_rel_agree_NMF1_d,G_rel_agree_NMF1_u,G_rel_agree_NMF2_d,G_rel_agree_NMF2_u
0_18,0.09278350515463918,0.054647599591419814,0.11403508771929824,0.07113144758735442,0.03461474202175337,0.08482032032140283,0.05984181921558677,0.11980427052286671,0.0,0.0,0.0,0.0,0.09278350515463918,0.09793392178799029,0.11403508771929824,0.12270467697756986,0.03461474202175337,2.1097034445798044e-07,0.05984181921558677,2.1681785578609104e-18,0.0,0.0,0.0,0.0
0_21,0.04639175257731959,0.008171603677221655,0.05263157894736842,0.0066555740432612314,0.00036057022939326415,0.013049280049446587,0.0008428425241631941,0.007787277583986335,0.0,0.0,0.0,0.0,0.04639175257731959,0.05039755350268677,0.05263157894736842,0.05810815774511029,0.00036057022939326415,0.0,0.0008428425241631941,0.0,0.0,0.0,0.0,0.0
0_259,0.061855670103092786,0.021961184882533197,0.06140350877192982,0.027038269550748752,0.010997391996494556,0.04183445662910819,0.0016856850483263882,0.008985320289215002,0.0,0.0,0.0,0.0,0.061855670103092786,0.06079236358265528,0.06140350877192982,0.06622066028744712,0.010997391996494556,4.141749093653603e-08,0.0016856850483263882,3.497062190098242e-20,0.0,0.0,0.0,0.0
0_26,0.020618556701030927,0.0020429009193054137,0.02631578947368421,0.0024958402662229617,0.0,0.0,0.0,0.0020366725988887335,0.0,0.0,0.0,0.0,0.020618556701030927,0.019844036691682915,0.02631578947368421,0.029054078872555147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0_269,0.03608247422680412,0.003830439223697651,0.05263157894736842,0.005407653910149751,0.0,0.0,0.0,0.0020366725988887335,0.0,0.0,0.0,0.0,0.03608247422680412,0.0368532109988397,0.05263157894736842,0.05810815774511029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0_271,0.010309278350515464,0.0007660878447395301,0.017543859649122806,0.0012479201331114808,0.0,0.0,0.0,0.0020366725988887335,0.0,0.0,0.0,0.0,0.010309278350515464,0.011339449538104524,0.017543859649122806,0.019369385915036764,0.0,0.0,0.0,0.0,0.0,0.13103361119193066,0.0,0.0
0_272,0.04639175257731959,0.005107252298263534,0.06140350877192982,0.006239600665557404,0.002704276720449481,0.03032038599724354,0.0016856850483263882,0.030550088983331006,0.0,0.0,0.0,0.0,0.04639175257731959,0.04724770640876885,0.06140350877192982,0.06133638873094976,0.002704276720449481,3.8828897753002536e-08,0.0016856850483263882,3.497062190098242e-20,0.0,0.0,0.0,0.0
0_38,0.10309278350515463,0.06077630234933606,0.10526315789473684,0.07612312811980033,0.04867698096809065,0.08597172738458929,0.03455654349069096,0.010782384347058003,0.0,0.0,0.0,0.0,0.10309278350515463,0.0933789381097754,0.10526315789473684,0.1052808143128117,0.04867698096809065,4.077034264065266e-07,0.03455654349069096,1.853442960752068e-18,0.0,0.0,0.0,0.0
0_40,0.020618556701030927,0.0015321756894790602,0.02631578947368421,0.0020798668885191347,0.0,0.011130268277469149,0.0,0.003833736656731734,0.0,0.0,0.0,0.0,0.020618556701030927,0.017009174307156785,0.02631578947368421,0.029054078872555147,0.0,2.9768821610635276e-08,0.0,0.0,0.0,0.0,0.0,0.0
0_42,0.005154639175257732,0.0002553626149131767,0.008771929824561403,0.00041597337770382697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005154639175257732,0.005669724769052262,0.008771929824561403,0.009684692957518382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0_60,0.02577319587628866,0.0015321756894790602,0.02631578947368421,0.0016638935108153079,0.0,0.033390804832407445,0.0,0.025638113891893476,0.0,0.0,0.0,0.0,0.02577319587628866,0.02834862384526131,0.02631578947368421,0.029054078872555147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0_62,0.02577319587628866,0.003830439223697651,0.02631578947368421,0.004991680532445923,0.0,0.028017571870870613,0.0,0.021564768694116006,0.0,0.0,0.0,0.0,0.02577319587628866,0.027718654426477727,0.02631578947368421,0.027978001877275324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11_100,0.4484536082474227,0.07048008171603677,0.5701754385964912,0.08069883527454243,0.0715851176956548,0.30419516367061966,0.12027489626661628,0.289252592386422,0.0,0.0,0.0,0.0,0.4484536082474227,0.4557041283125755,0.5701754385964912,0.5798709908314131,0.0715851176956548,0.00014141825205363085,0.12027489626661628,4.579874762681834e-11,0.0,0.9253187418128637,0.0,0.0
11_101,0.6185567010309279,0.1754341164453524,0.7894736842105263,0.23044925124792012,0.1320310122545813,0.5335415464795802,0.28429272772294006,0.2871312138450981,0.0,0.0,0.0,0.0,0.6185567010309279,0.5007825616534984,0.7894736842105263,0.6564498283813426,0.1320310122545813,0.0024598914162814872,0.28429272772294006,1.321610794068364e-05,0.0,0.0,0.0,0.0
11_102,0.654639175257732,0.08043922369765066,0.7017543859649122,0.07778702163061564,0.26751221058803254,0.9645485056319911,0.42558243972889415,0.8455221685007095,0.0,0.0,0.0,0.0,0.654639175257732,0.5200780033491325,0.7017543859649122,0.5587260778741646,0.26751221058803254,0.005843990090477965,0.42558243972889415,3.1716965712616996e-05,0.0,0.0,0.0,0.0
11_103,0.5463917525773195,0.06843718079673136,0.6491228070175439,0.07362728785357738,0.09584992782636208,0.4134524799350799,0.10127023780701833,0.2776022902026589,0.0,0.0,0.0,0.0,0.5463917525773195,0.48230992067787937,0.6491228070175439,0.580468100688584,0.09584992782636208,6.729732463242678e-05,0.10127023780701833,3.763674279400521e-09,0.0,0.42251422016697066,0.0,0.0
11_105,0.11855670103092783,0.010469867211440245,0.16666666666666666,0.012063227953410981,0.001772226764428552,0.053821000092445836,0.00015742748296151615,0.039816985181110945,0.0,0.0,0.0,0.0,0.11855670103092783,0.09355045868936232,0.16666666666666666,0.13074335492649816,0.001772226764428552,0.00028604885184625956,0.00015742748296151615,2.9735197376284096e-12,0.0,0.0,0.0,0.0
11_107,0.25773195876288657,0.026302349336057202,0.3508771929824561,0.03119800332778702,0.012162184567251955,0.11966453543106888,0.019344842615834166,0.12582510893384766,0.0,0.26975375005226676,0.0,0.0,0.25773195876288657,0.22754495406463077,0.3508771929824561,0.29667442759864643,0.012162184567251955,4.578370379968283e-05,0.019344842615834166,7.999518036516826e-07,0.0,0.0,0.0,0.0
11_114,0.7422680412371134,0.24387129724208376,0.8333333333333334,0.22420965058236272,0.33994322956839956,0.39367155020766387,0.5016031173185879,0.40716256288390673,0.0,0.0,0.0,0.0,0.7422680412371134,0.4318904868224188,0.8333333333333334,0.4527443412569033,0.33994322956839956,0.1062181958471375,0.5016031173185879,0.0005580553001594147,0.0,0.0,0.0,0.0
11_116,0.33505154639175255,0.04851889683350358,0.38596491228070173,0.045757071547420966,0.045636745618803785,0.22553417302374323,0.027262147720699206,0.13988937233462048,0.0,0.0,0.0,0.0,0.33505154639175255,0.27707404972570876,0.38596491228070173,0.3209553363707104,0.045636745618803785,0.001037390426285922,0.027262147720699206,1.5039889671682834e-10,0.0,0.0,0.0,0.0
11_12,0.33505154639175255,0.04264555669050051,0.43859649122807015,0.04118136439267887,0.06811648473154572,0.3720787627430795,0.09543188364331957,0.33253070840175136,0.0,0.0,0.0,0.0,0.33505154639175255,0.24200418397439308,0.43859649122807015,0.3150753442179313,0.06811648473154572,0.0019658151507613254,0.09543188364331957,4.6422739399966033e-07,0.0,0.0,0.0,0.0
11_124,0.7422680412371134,0.2576608784473953,0.8245614035087719,0.24168053244592347,0.3243551129856713,0.5553069747653259,0.36585377515827666,0.368620455411618,0.0,0.0,0.0,0.0,0.7422680412371134,0.5103975932759247,0.8245614035087719,0.5639677338433301,0.3243551129856713,0.058414496270398006,0.36585377515827666,0.0069436603115664,0.0,0.0,0.0,0.0
11_126,0.18556701030927836,0.014555669050051073,0.2719298245614035,0.021214642262895173,0.0005759572890471026,0.13614976328542172,0.008149106555387033,0.13856751575252693,0.0,2.3319408789057583,0.0,0.0,0.18556701030927836,0.19844036691682915,0.2719298245614035,0.30022548168306984,0.0005759572890471026,0.0,0.008149106555387033,0.0,0.0,0.0,0.0,0.0
11_13,0.4896907216494845,0.09729315628192033,0.5964912280701754,0.10773710482529118,0.08443277140310583,0.3303895927880841,0.08471461603094375,0.18862933623142256,0.0,0.0,0.0,0.0,0.4896907216494845,0.38654009681789575,0.5964912280701754,0.45929285289998073,0.08443277140310583,0.0023952026551380947,0.08471461603094375,4.316696769002763e-07,0.0,0.0,0.0,0.0
11_135,0.4896907216494845,0.07328907048008172,0.5964912280701754,0.08818635607321132,0.07501571760578114,0.22389728251698005,0.0849969177927476,0.15462814232985278,0.0,0.0,0.0,0.0,0.4896907216494845,0.41670884822135,0.5964912280701754,0.5208824602039007,0.07501571760578114,0.00031443353840331366,0.0849969177927476,4.110176694981194e-09,0.0,0.0,0.0,0.0
11_137,0.09278350515463918,0.007916241062308479,0.15789473684210525,0.012895174708818636,0.0,0.0,0.0021252153324643835,0.02098116311917947,0.0,0.9927340590359995,0.0,0.0,0.09278350515463918,0.03874311925519045,0.15789473684210525,0.06617873520970893,0.0,0.0,0.0021252153324643835,5.0372007661529e-09,0.0,0.0,0.0,0.0
