,G_interactions_degree,G_interactions_w_degree,G_interactions_degree_u,G_interactions_w_degree_u,G_interactions_betweenness_centrality,G_interactions_w_betweenness_centrality,G_interactions_betweenness_centrality_u,G_interactions_w_betweenness_centrality_u,G_interactions_NMF1_d,G_interactions_NMF1_u,G_interactions_NMF2_d,G_interactions_NMF2_u,G_rel_agree_degree,G_rel_agree_w_degree,G_rel_agree_degree_u,G_rel_agree_w_degree_u,G_rel_agree_betweenness_centrality,G_rel_agree_w_betweenness_centrality,G_rel_agree_betweenness_centrality_u,G_rel_agree_w_betweenness_centrality_u,G_rel_agree_NMF1_d,G_rel_agree_NMF1_u,G_rel_agree_NMF2_d,G_rel_agree_NMF2_u
11_10,0.09950248756218906,0.007377049180327869,0.14049586776859505,0.010048055919615552,0.0002731408311358115,0.03698236902856237,0.0007627825995328007,0.040183557734303155,0.0,0.0,0.0,0.0,0.09950248756218906,0.06878426186964993,0.14049586776859505,0.10566698134912658,0.0002731408311358115,0.0032998288405197947,0.0007627825995328007,2.5481747482743477e-07,0.0,0.9448533950668344,0.0,0.0
11_100,0.43781094527363185,0.0778688524590164,0.5454545454545454,0.0891218872870249,0.05543298031257936,0.27311409545384485,0.13493708143455993,0.3053625922094905,0.0,0.0,0.0,0.0,0.43781094527363185,0.4664432758035636,0.5454545454545454,0.5847706808752801,0.05543298031257936,0.028318264961128922,0.13493708143455993,4.272527880439222e-07,0.0,0.0,0.0,0.0
11_101,0.6417910447761194,0.1912568306010929,0.8016528925619835,0.24945391000436873,0.11694317832656444,0.49106954790806256,0.28263401089225065,0.27909492974454825,0.0,0.0,0.0,0.0,0.6417910447761194,0.5486040442137547,0.8016528925619835,0.6965333637340272,0.11694317832656444,0.0012422480404296853,0.28263401089225065,1.0747958222665281e-05,0.0,0.0,0.0,0.0
11_102,0.6567164179104478,0.08825136612021858,0.71900826446281,0.08693752730449979,0.1560145812226004,0.5968016795483295,0.24662148063667602,0.564340421178711,0.0,0.0,0.0,0.0,0.6567164179104478,0.5384028957939156,0.71900826446281,0.5918151462985551,0.1560145812226004,0.01047947220434205,0.24662148063667602,2.390478939341209e-06,0.0,0.0,0.0,0.0
11_103,0.5621890547263682,0.07513661202185792,0.6528925619834711,0.07951070336391437,0.08899907935507419,0.5151615541995286,0.11526215481869918,0.3449323471082888,0.0,0.0,0.0,0.0,0.5621890547263682,0.49827069441012917,0.6528925619834711,0.5934407921654647,0.08899907935507419,0.003976368473701827,0.11526215481869918,0.00025808819491823104,0.0,0.0,0.0,0.0
11_105,0.15422885572139303,0.013387978142076503,0.21487603305785125,0.015727391874180863,0.0022209965101231354,0.10422110151029729,0.004712600055814857,0.12772671559044282,0.0,0.0,0.0,0.0,0.15422885572139303,0.14043453465053526,0.21487603305785125,0.1969248288779177,0.0022209965101231354,0.002168016545979392,0.004712600055814857,2.237577336849785e-09,0.0,0.0,0.0,0.0
11_107,0.2736318407960199,0.030601092896174863,0.35537190082644626,0.0345128877238969,0.012589875627857652,0.13910635577638336,0.021016377945121966,0.136000731011178,0.0,0.0,0.0,0.0,0.2736318407960199,0.25583924067628133,0.35537190082644626,0.31828175594252067,0.012589875627857652,6.231556018636066e-06,0.021016377945121966,1.2282570300793146e-06,0.0,0.0,0.0,0.0
11_114,0.7761194029850746,0.2825136612021858,0.8429752066115702,0.2525120139799039,0.28215883273919734,0.4646563745877399,0.38452199192421793,0.48608414572405323,0.0,0.0,0.0,0.0,0.7761194029850746,0.4922521088167723,0.8429752066115702,0.5165307062203669,0.28215883273919734,0.4012460074022899,0.38452199192421793,0.42748837031381826,0.0,0.9769379325712144,0.0,0.0
11_119,0.527363184079602,0.12158469945355191,0.6611570247933884,0.14110965487112276,0.10052943818982556,0.41323115004666555,0.1844184279829142,0.42408928631903453,0.0,0.0,0.0,0.0,0.527363184079602,0.5125188171047913,0.6611570247933884,0.6360858931094792,0.10052943818982556,0.0001185192059060279,0.1844184279829142,1.0214842726562717e-07,0.0,0.06743432023718418,0.0,0.0
11_122,0.3880597014925373,0.05245901639344262,0.4793388429752066,0.059414591524683265,0.042260031526379895,0.1808722094925333,0.06608416561426868,0.17095912706703564,0.0,0.0,0.0,0.0,0.3880597014925373,0.3574144405500954,0.4793388429752066,0.4418498325340818,0.042260031526379895,0.0008391182268401474,0.06608416561426868,9.383000662422997e-06,0.0,0.0,0.0,0.0
11_124,0.7562189054726368,0.3079234972677596,0.8264462809917356,0.2835299257317606,0.21689676559349583,0.4596263096092018,0.25831511760346365,0.2549092357853901,0.0,0.0,0.0,0.0,0.7562189054726368,0.5733938914667775,0.8264462809917356,0.6054108697208147,0.21689676559349583,0.11402663951080313,0.25831511760346365,0.00019160425272428928,0.0,0.0,0.0,0.0
11_126,0.20398009950248755,0.01612021857923497,0.2975206611570248,0.023154215814766274,0.0007091955172433334,0.12716051209144566,0.01213504793187189,0.17583042593671241,0.0,0.0,0.0,0.0,0.20398009950248755,0.22928087289883312,0.2975206611570248,0.34581921168805063,0.0007091955172433334,1.0950393161414092e-06,0.01213504793187189,0.0,0.0,0.0,0.0,0.0
11_13,0.5771144278606966,0.12349726775956284,0.6694214876033058,0.13193534294451725,0.10844266761064511,0.44951055292215797,0.1440979916518754,0.3256826181586513,0.0,0.0,0.0,0.0,0.5771144278606966,0.47388365275060057,0.6694214876033058,0.5238935276061893,0.10844266761064511,0.01524543417041584,0.1440979916518754,1.1253837363463305e-05,0.0,0.0,0.0,0.0
11_131,0.35323383084577115,0.03715846994535519,0.4297520661157025,0.04062909567496723,0.015814226057190364,0.27453855871136945,0.032530337812933775,0.25216804793192,0.0,0.0,0.0,0.0,0.35323383084577115,0.31396467149033663,0.4297520661157025,0.38127025521427277,0.015814226057190364,0.0012998142196672783,0.032530337812933775,3.304484519496551e-08,0.0,0.0,0.0,0.0
11_135,0.5572139303482587,0.09234972677595628,0.6528925619834711,0.10135430318916558,0.08587188377644325,0.29265184931609806,0.11901388245180654,0.25284868376882613,0.0,0.0,0.0,0.0,0.5572139303482587,0.5112165601800557,0.6528925619834711,0.6194857267236624,0.08587188377644325,0.0008280004085842258,0.11901388245180654,9.418844897193447e-08,0.0,0.0,0.0,0.0
11_137,0.14925373134328357,0.013934426229508197,0.24793388429752067,0.022280471821756225,0.0,0.0,0.010964037335637512,0.10773383545590626,0.0,0.0,0.0,0.0,0.14925373134328357,0.06591825095841451,0.24793388429752067,0.11047002595590506,0.0,0.0,0.010964037335637512,1.7032958620266838e-05,0.0,0.0,0.0,0.0
11_139,0.5621890547263682,0.1005464480874317,0.6694214876033058,0.10484927916120576,0.1964703874191459,0.6947438560858447,0.3636706200000821,0.751812081957951,0.0,2.1952488163699972,0.0,0.0,0.5621890547263682,0.4470476606923696,0.6694214876033058,0.5555178520559005,0.1964703874191459,0.0035779066966051885,0.3636706200000821,0.012370880390509814,0.0,0.0,0.0,0.0
11_140,0.4228855721393035,0.04726775956284153,0.5041322314049587,0.05067715159458279,0.03888492340417102,0.3546937884760605,0.06582157673668283,0.36467537742933875,0.0,0.0,0.0,0.0,0.4228855721393035,0.34143743322517894,0.5041322314049587,0.4080986900892783,0.03888492340417102,0.006829927671695854,0.06582157673668283,5.1503612498687794e-05,0.0,0.0,0.0,0.0
11_144,0.5522388059701493,0.08633879781420765,0.6776859504132231,0.09305373525557012,0.06971137420090816,0.2516389741603664,0.11124782282462299,0.1997725928651346,0.0,0.0,0.0,0.0,0.5522388059701493,0.41910839674859895,0.6776859504132231,0.5237453307880445,0.06971137420090816,0.14450079860457749,0.11124782282462299,6.82791230200541e-06,0.0,0.0,0.0,0.0
11_151,0.36318407960199006,0.06994535519125683,0.4793388429752066,0.08387942332896461,0.012569561438389582,0.18348636050522496,0.03338962123425383,0.1591283160791208,0.0,0.0,0.0,0.0,0.36318407960199006,0.2771987491152356,0.4793388429752066,0.3765830826451143,0.012569561438389582,0.12832062785989387,0.03338962123425383,0.00020391146727334432,0.0,0.0,0.0,0.0
11_152,1.0,0.5672131147540984,1.0,0.6426387068588904,1.0,1.0,0.8537575759013774,0.35514467261426613,0.0,0.05652856010893662,0.0,0.0,1.0,0.8325806095904491,1.0,0.8112033068578568,1.0,0.028244294636295998,0.8537575759013774,8.850148425403037e-05,0.0,0.0,0.0,0.0
11_158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11_159,0.13930348258706468,0.014207650273224045,0.23140495867768596,0.022717343818261248,0.0,0.0,0.004556740210878864,0.05181311400639469,0.0,0.0,0.0,0.0,0.13930348258706468,0.15476458920671235,0.23140495867768596,0.25936440876603795,0.0,0.0,0.004556740210878864,0.0,0.0,0.0,0.0,0.0
11_163,0.7213930348258707,0.24344262295081967,0.768595041322314,0.24508519003931847,0.26565538380920567,0.5099411177912552,0.3363594500005203,0.431615200827964,0.0,0.0,0.0,0.0,0.7213930348258707,0.4920183442977682,0.768595041322314,0.5041899996137967,0.26565538380920567,0.0782321249494252,0.3363594500005203,0.0018890367403076268,0.0,0.0,0.0,0.0
11_164,0.26865671641791045,0.036885245901639344,0.33884297520661155,0.045871559633027525,0.01223961994644636,0.11943211210329517,0.022848697189632592,0.08946201148145533,0.0,0.0,0.0,0.0,0.26865671641791045,0.28707875960874724,0.33884297520661155,0.3610288529428492,0.01223961994644636,7.308613379885277e-07,0.022848697189632592,3.861582198135165e-16,0.0,0.0,0.0,0.0
11_169,0.8059701492537313,0.2210382513661202,0.8760330578512396,0.14635211882918306,0.2557609510526413,0.48890950636815417,0.303277580988321,0.4132077549488128,0.0,0.0,0.0,0.0,0.8059701492537313,0.5437881452972096,0.8760330578512396,0.6302979484591454,0.2557609510526413,0.1930091483933169,0.303277580988321,1.0,0.0,0.0,0.0,0.0
11_170,0.20398009950248755,0.01721311475409836,0.2975206611570248,0.023154215814766274,0.004670882819020241,0.14071502534314875,0.01870605740508852,0.1851322909105894,0.0,0.0,0.0,0.0,0.20398009950248755,0.19966542681606714,0.2975206611570248,0.2865816615377827,0.004670882819020241,4.442261421047379e-05,0.01870605740508852,1.8148137203516985e-10,0.0,0.0,0.0,0.0
11_172,0.16417910447761194,0.011475409836065573,0.23140495867768596,0.015727391874180863,0.007595728347238302,0.11811725053044043,0.010301303401452471,0.10831973550270826,0.0,0.0,0.0,0.0,0.16417910447761194,0.15476458920671235,0.23140495867768596,0.21133396269825316,0.007595728347238302,6.180245272786965e-05,0.010301303401452471,1.2103649896380444e-09,0.0,0.0,0.0,0.0
11_175,0.11442786069651742,0.00819672131147541,0.15702479338842976,0.010484927916120577,0.00329382006336206,0.03470308561518142,0.004959169602011778,0.04223144579704969,0.0,0.0,0.0,0.0,0.11442786069651742,0.09457836007076866,0.15702479338842976,0.12007611516946202,0.00329382006336206,1.9003348927583428e-08,0.004959169602011778,2.260043417237098e-10,0.0,0.0,0.0,0.0
11_178,0.009950248756218905,0.000546448087431694,0.01652892561983471,0.0008737439930100481,0.0,0.0,0.0,0.0015588486149502269,0.0,0.0,0.0,0.0,0.009950248756218905,0.011464043644941656,0.01652892561983471,0.019212178427113924,0.0,0.0,0.0,0.0,0.0,1.0620106258956767,0.0,0.0
11_18,0.7711442786069652,0.3073770491803279,0.7933884297520661,0.2944517256443862,0.24746886708233806,0.2280610699995964,0.2657978601045413,0.1660435252681899,0.0,0.0,0.0,0.0,0.7711442786069652,0.6971506189776756,0.7933884297520661,0.6957459335373486,0.24746886708233806,0.04854275351407779,0.2657978601045413,6.918735581720991e-07,0.0,1.0552029744270992,0.0,0.0
