uid,CE_votes_3,CE_votes_num,CE_votes_mean,CE_votes_2,CE_votes_std,CE_votes_1,CE_votes_4,CE_likes_mean,CE_likes_sum,CE_likes_num,CE_likes_std,CE_dislikes_std,CE_dislikes_sum,CE_dislikes_num,CE_dislikes_mean,CE_com_num,CE_com_std,CE_com_sum,CE_com_mean,CE_comid
11_213,32,218,3.4311926605504586,13,0.9871709097755966,22,151,6.653846153846154,346.0,52.0,5.870780471829643,3.2449055093647767,130.0,52.0,2.5,52.0,94.9427310116246,4718.0,90.73076923076923,11
11_214,64,227,3.6916299559471364,3,0.49068354398492764,0,160,6.0,138.0,23.0,4.421024151195574,1.3127528930087216,18.0,23.0,0.782608695652174,23.0,27.42643772286164,1170.0,50.869565217391305,11
11_216,90,169,3.331360946745562,7,0.6429275813762656,3,69,7.846153846153846,102.0,13.0,5.063696835418333,1.1547005383792515,13.0,13.0,1.0,13.0,56.94959534760902,1175.0,90.38461538461539,11
11_217,97,171,2.8362573099415203,36,0.7647191129018726,10,28,9.411764705882353,160.0,17.0,8.307066446175597,1.2718675476729209,11.0,17.0,0.6470588235294118,17.0,174.8874217721722,2229.0,131.11764705882354,11
11_218,7,162,3.919753086419753,3,0.33396535435531477,0,152,4.387096774193548,136.0,31.0,4.112399294449561,0.8859719163490116,13.0,31.0,0.41935483870967744,31.0,33.39535090945432,1058.0,34.12903225806452,11
11_225,63,116,2.6982758620689653,32,0.7600895552065113,8,13,9.363636363636363,103.0,11.0,6.960929927426755,1.0269106361049412,7.0,11.0,0.6363636363636364,11.0,32.6081417607767,802.0,72.9090909090909,11
11_232,15,84,2.5952380952380953,29,1.098948540394355,15,25,5.925,237.0,40.0,4.299001076577006,4.798437245604029,211.0,40.0,5.275,40.0,129.20874583401854,4226.0,105.65,11
11_236,3,64,3.859375,3,0.46691107545329485,0,58,6.8979591836734695,338.0,49.0,6.810668401972941,2.848051010396957,89.0,49.0,1.816326530612245,49.0,79.72869600079004,5049.0,103.04081632653062,11
11_237,10,58,3.706896551724138,2,0.6215041372504928,1,45,5.517241379310345,160.0,29.0,5.603702154157759,1.762359591584323,28.0,29.0,0.9655172413793104,29.0,85.96241589097417,2221.0,76.58620689655173,11
11_24,108,313,3.4440894568690097,24,0.718954826991146,6,175,5.271428571428571,369.0,70.0,4.376887348006895,2.6296604099456653,100.0,70.0,1.4285714285714286,70.0,35.3027837775304,3174.0,45.34285714285714,11
