,CEG_interactions_degree,CEG_interactions_w_degree,CEG_interactions_degree_u,CEG_interactions_w_degree_u,CEG_interactions_betweenness_centrality,CEG_interactions_w_betweenness_centrality,CEG_interactions_betweenness_centrality_u,CEG_interactions_w_betweenness_centrality_u,CEG_interactions_NMF1_d,CEG_interactions_NMF1_u,CEG_interactions_NMF2_d,CEG_interactions_NMF2_u,CEG_rel_agree_degree,CEG_rel_agree_w_degree,CEG_rel_agree_degree_u,CEG_rel_agree_w_degree_u,CEG_rel_agree_betweenness_centrality,CEG_rel_agree_w_betweenness_centrality,CEG_rel_agree_betweenness_centrality_u,CEG_rel_agree_w_betweenness_centrality_u,CEG_rel_agree_NMF1_d,CEG_rel_agree_NMF1_u,CEG_rel_agree_NMF2_d,CEG_rel_agree_NMF2_u
0_18,0.9285714285714286,0.9043280182232346,1.0,0.851985559566787,0.7244375832575976,0.10095309756709304,1.0,0.05579122095167836,4.71135663188098,0.8258983891190528,4.910908406242728,7.319158234214943,0.9285714285714286,1.0,1.0,1.0,0.7244375832575976,0.10445035738508897,1.0,0.04632120052129711,0.5305772712935003,1.2550536151302742,0.9292461077193458,0.00070223810076216
0_20,0.03571428571428571,0.0,0.0,0.0,0.0,0.29633809882116885,0.0,0.3670732545999037,0.035595697940631874,0.12599388771404857,0.13377899055222658,0.1753928149219525,0.03571428571428571,0.027332285845261334,0.0,0.0471035494770044,0.0,0.10134606354672093,0.0,0.0010616855008602107,0.3780940066007055,0.0,0.0,0.9256190963762426
0_259,0.4642857142857143,0.11617312072892938,0.5714285714285714,0.12274368231046931,0.12112346401404331,0.6770754953599198,0.11859326184243857,1.0,0.7349491745574356,0.5731927729252373,0.0,0.3565268662466134,0.4642857142857143,0.5154088187963564,0.5714285714285714,0.5702894025965889,0.12112346401404331,0.06847706996400063,0.11859326184243857,0.0,0.4157195049642291,0.8936309510790126,0.5827895676313597,0.0
0_27,0.6071428571428571,0.20045558086560364,0.7142857142857143,0.18050541516245489,0.1213973581664032,0.5876598946576372,0.2430971882124462,0.6712655283871731,0.3103738431626825,1.9287218224068683,0.5024420704585935,0.0,0.6071428571428571,0.6279367406856657,0.7142857142857143,0.7216936687726744,0.1213973581664032,0.12271090937548913,0.2430971882124462,0.0,0.7355784821479034,0.7745042069172279,0.1544385559949977,0.7340600617348583
0_31,0.0,0.01366742596810934,0.07142857142857142,0.032490974729241874,0.0,0.0,0.023938191336654563,0.017880699472957003,0.052971276441786425,0.07146293961560572,0.5762980860337343,0.566779974981057,0.0,0.06833071461315332,0.07142857142857142,0.18841419790801756,0.0,0.0,0.023938191336654563,0.0,0.6650653550922861,0.0,0.0,1.3976484415979908
0_32,0.25,0.03189066059225513,0.35714285714285715,0.05054151624548736,0.00915055463565853,0.48093804865813894,0.0,0.20772558753102552,0.5290479475786255,0.7936500651746597,0.012503233899671777,0.11383451855275618,0.25,0.32603512401133145,0.35714285714285715,0.42056740604468196,0.00915055463565853,0.0,0.0,0.0,0.17120630548729365,0.7169945335393373,0.5724683196857158,0.047844431837155574
0_33,0.6785714285714286,0.24145785876993167,0.7142857142857143,0.20577617328519857,0.2757118135527807,0.3627414095811387,0.3777336823440006,0.10982875791658592,0.706874366574608,0.8039817277541657,1.212924218723709,1.2284402268912362,0.6785714285714286,0.6667500883598845,0.7142857142857143,0.7253946619458674,0.2757118135527807,0.23008295507904214,0.3777336823440006,0.1284301647017854,0.7372630959304168,0.7323654508584871,0.4971261009699714,0.8279490860709042
0_37,0.6428571428571429,0.15034168564920272,0.7857142857142857,0.16606498194945848,0.11840942195884119,1.0,0.47563961833994756,0.9083801711795635,0.30967483250217254,0.0,0.9005060284255881,2.1867385103135235,0.6428571428571429,0.7649135424409562,0.7857142857142857,0.869060487850731,0.11840942195884119,0.0,0.47563961833994756,0.003906864761931698,0.7944750542754289,1.1031935700497215,0.2660167302613015,0.1515330890647876
0_38,1.0,0.9521640091116174,1.0,0.9638989169675091,1.0,0.35233258088788566,1.0,0.07389855516445867,5.471901805686119,3.913358871859329,2.678373408950883,5.807526205107337,1.0,0.9509069172063931,1.0,0.9639247415391763,1.0,0.19769656179892525,1.0,0.016647090772254226,0.3701191474372835,1.1434011442766863,1.013630216705775,0.16018953818343157
0_39,0.6785714285714286,0.34851936218678814,0.7857142857142857,0.4007220216606498,0.2750395279060792,0.4502758966641585,0.5213628303639279,0.2685543516996042,2.7222170178530276,2.773985431230869,0.775387153842577,1.3833659888230352,0.6785714285714286,0.6321626415574456,0.7857142857142857,0.7567664415434309,0.2750395279060792,0.17091876663014557,0.5213628303639279,0.06460178618067655,0.6928548120969914,1.0355230793296957,0.47056503977025826,0.07758122530854021
0_51,0.17857142857142858,0.025056947608200455,0.2857142857142857,0.036101083032490974,0.0,0.5173062452972159,0.0,0.09191836147772102,0.20908248521445755,0.4671760423049298,0.14470736991241864,0.1490430210701898,0.17857142857142858,0.0,0.2857142857142857,0.0,0.0,0.47112224135232433,0.0,1.0,0.57831038201416,0.0,0.0,0.799901969661513
0_52,0.75,0.30068337129840544,0.7857142857142857,0.33212996389891697,0.26272674078408426,0.6162528216704288,0.34796926454445654,0.10020068896960904,1.5548479164565412,1.2605551717018186,1.8512315150612257,2.468232703314051,0.75,0.9201869567904646,0.7857142857142857,0.8949674400630834,0.26272674078408426,0.004930349037408045,0.34796926454445654,0.000796264125645158,0.7007830010906804,0.9830913986265237,0.8793552723417077,0.6465500389406627
0_55,0.9642857142857143,1.0,1.0,1.0,0.8431333491029966,0.4149109606220216,1.0,0.06334050228510339,5.766428558521559,6.679262721183766,1.9655436089389837,2.7672245027353584,0.9642857142857143,0.7105528970071947,1.0,0.701766324221611,0.8431333491029966,1.0,1.0,0.46462918565663947,0.4625255608307403,0.7463181064989408,0.4562405200383378,0.4600187805827334
0_56,0.5357142857142857,0.15261958997722094,0.6428571428571429,0.1263537906137184,0.10518780424037946,0.45522949586155,0.18061302034957355,0.28028309023501236,0.6502439347636804,0.3539345660221567,1.0982231192031684,1.0927410640145652,0.5357142857142857,0.48241484516886246,0.6428571428571429,0.5464011739332508,0.10518780424037946,0.1808968539677571,0.18061302034957355,0.12775799368663038,0.7631270134131823,0.7037065675233799,0.035569302648935194,0.4321698211059299
0_57,0.35714285714285715,0.08428246013667426,0.42857142857142855,0.10469314079422383,0.007407591847914049,0.05618259342864309,0.01063919614962425,0.08606962219207373,1.3231649760620183,1.3919014055038763,0.21330665131387702,0.3511471922952961,0.35714285714285715,0.4236504306015506,0.42857142857142855,0.5416908189855504,0.007407591847914049,0.0,0.01063919614962425,0.0,0.7792078557119069,0.5468155367126792,0.3598156563167191,0.879184216434074
0_62,0.17857142857142858,0.04328018223234624,0.14285714285714285,0.061371841155234655,0.0,0.615751191371959,0.01063919614962425,0.0,0.7119463343450912,0.5840880282719978,0.18138592480460222,0.46917409107908226,0.17857142857142858,0.2733228584526132,0.14285714285714285,0.25906952212352413,0.0,0.0,0.01063919614962425,0.0,0.7780794534172224,0.0,0.011580942145680308,1.6279084823328673
0_63,0.35714285714285715,0.1366742596810934,0.5,0.1624548736462094,0.06386713643663709,0.3708929019312766,0.185679304230347,0.34983025839486337,1.2435324341085008,1.1034789177763087,0.13837218776046684,0.7061580611319647,0.35714285714285715,0.454461371008936,0.5,0.5994997206164194,0.06386713643663709,0.0027390827985600253,0.185679304230347,0.0018365780352542864,0.6524468736380007,0.5522654629856791,0.12786223535948507,0.7681646301269319
0_64,0.25,0.05011389521640091,0.35714285714285715,0.05415162454873646,0.025447256701069433,0.5452094306496111,0.03647724394156886,0.5423369323972017,0.39457447470462303,0.0,0.0,0.8951857328715208,0.25,0.33892034448124037,0.35714285714285715,0.4427733650838412,0.025447256701069433,0.0,0.03647724394156886,0.0,0.029409194942253043,0.13626324385486763,0.579099961250949,1.4521788484986748
1_100,0.8235294117647058,0.45662100456621,1.0,0.4161073825503356,0.6842783505154638,0.6424870466321242,1.0,1.0,1.6747113896470023,1.3171184956718984,0.8046795400604576,1.0576179785978428,0.8235294117647058,0.5846087712371266,1.0,0.42446770548352564,0.6842783505154638,1.0,1.0,1.0,0.1338570163427085,0.24062136560148953,1.2034321688396348,0.2531730078162242
1_102,1.0,1.0,1.0,1.0,1.0,0.3264248704663212,0.35768261964735515,0.09915014164305946,6.59167882241412,6.30928966499104,3.2253058507551216,0.042778477132254966,1.0,1.0,1.0,0.7595831794306749,1.0,0.38022813688212936,0.35768261964735515,0.007003618536243725,1.0076672940241684,0.09612005659157104,0.3643063967988758,1.1080690747359299
1_133,0.8235294117647058,0.7488584474885844,1.0,0.6644295302013423,0.15914948453608244,0.0155440414507772,0.35768261964735515,0.0,3.0647741597915603,2.094973203182307,5.0141709884142385,4.6258711032225985,0.8235294117647058,0.7191252289923051,1.0,0.6994388552563757,0.15914948453608244,0.19391634980988595,0.35768261964735515,0.0,0.8661723740613366,0.4430166979929952,0.10530601460812086,0.70204833967288
1_141,0.8235294117647058,0.776255707762557,1.0,0.6845637583892618,0.2235824742268041,1.0,0.35768261964735515,0.6515580736543909,0.2023534135068252,0.5934455525233556,6.222064159329326,6.301494395392272,0.8235294117647058,0.9899278881991408,1.0,1.0,0.2235824742268041,0.0,0.35768261964735515,0.041369985603673,0.8837287697892531,0.2192862182924507,0.3121804980735944,1.406800757395152
