,G_interactions_degree,G_interactions_w_degree,G_interactions_degree_u,G_interactions_w_degree_u,G_interactions_betweenness_centrality,G_interactions_w_betweenness_centrality,G_interactions_betweenness_centrality_u,G_interactions_w_betweenness_centrality_u,G_interactions_NMF1_d,G_interactions_NMF1_u,G_interactions_NMF2_d,G_interactions_NMF2_u,G_rel_agree_degree,G_rel_agree_w_degree,G_rel_agree_degree_u,G_rel_agree_w_degree_u,G_rel_agree_betweenness_centrality,G_rel_agree_w_betweenness_centrality,G_rel_agree_betweenness_centrality_u,G_rel_agree_w_betweenness_centrality_u,G_rel_agree_NMF1_d,G_rel_agree_NMF1_u,G_rel_agree_NMF2_d,G_rel_agree_NMF2_u
0_18,0.13333333333333333,0.09887968826108134,0.12418300653594772,0.09987966305655836,0.009836384482876583,0.003063621509477329,0.012278461570031282,0.0006422148344398205,0.0,5.44046994708285,0.0,0.0,0.13333333333333333,0.14795619375580812,0.12418300653594772,0.14428517045745104,0.009836384482876583,2.529206433900878e-07,0.012278461570031282,4.6878499186799803e-23,0.0,0.0,0.0,0.0
0_20,0.029166666666666667,0.00219191427179737,0.032679738562091505,0.0024067388688327317,0.0,0.008992965996142768,0.0,0.024749736452959366,0.0,0.0,0.0,0.0,0.029166666666666667,0.025754344216153992,0.032679738562091505,0.03375216269109681,0.0,2.454037711215013e-07,0.0,0.0,0.0,0.0,0.0,0.0
0_259,0.07916666666666666,0.014612761811982464,0.08496732026143791,0.018451664661050943,0.001644609541904935,0.020547195689028692,0.0014561428079970392,0.01868947107082487,0.0,0.0,0.0,0.7930295534396766,0.07916666666666666,0.08707421139747303,0.08496732026143791,0.10125648807329041,0.001644609541904935,1.6581335886587928e-07,0.0014561428079970392,4.848902760363481e-24,0.0,0.0,0.0,0.610378907923104
0_27,0.09583333333333334,0.02362396492937165,0.09803921568627451,0.01444043321299639,0.0016483284657328628,0.017833702352063056,0.0029848594832491814,0.015370341704259705,0.0,1.0426004750395423,0.0,0.0,0.09583333333333334,0.10121174262176913,0.09803921568627451,0.10631931247695493,0.0016483284657328628,2.971375390876556e-07,0.0029848594832491814,1.7254012322293387e-23,0.0,0.0,0.0,0.0
0_31,0.025,0.003653190452995616,0.0392156862745098,0.006016847172081829,0.0,0.0,0.0002939241623831688,0.0027829309492392222,0.0,0.0005390420029443708,0.0,0.0,0.025,0.03090521305938479,0.0392156862745098,0.050628244036645204,0.0,0.0,0.0002939241623831688,0.0,0.0,0.0,0.0,0.0
0_32,0.05416666666666667,0.005601558694593278,0.06535947712418301,0.007220216606498195,0.00012424586425122081,0.014595016756329885,0.0,0.024771143614107365,0.0,0.0,0.0,0.0,0.05416666666666667,0.06328210293112123,0.06535947712418301,0.07835323481861757,0.00012424586425122081,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0_33,0.10416666666666667,0.02800779347296639,0.09803921568627451,0.02807862013638187,0.0037436039587857633,0.011008105858587794,0.004637988502367215,0.006350791140571559,0.0,0.0,0.0,0.0,0.10416666666666667,0.10608808713654203,0.09803921568627451,0.10333354423889636,0.0037436039587857633,5.571328857893542e-07,0.004637988502367215,2.2709027927702297e-22,0.0,0.0,0.0,0.0
0_37,0.1,0.01826595226497808,0.10457516339869281,0.01764941837144003,0.001607758387610015,0.030346978778350586,0.005840122774971392,0.04517522635402395,0.0,0.0,0.0,0.0,0.1,0.11842092750056331,0.10457516339869281,0.12853948624859368,0.001607758387610015,0.0,0.005840122774971392,3.238374343528468e-24,0.0,0.31723874116846584,0.0,0.0
0_38,0.14166666666666666,0.1039941548952752,0.12418300653594772,0.10549538708383474,0.013577959937756203,0.010692229355126157,0.012278461570031282,0.011865683607745257,0.0,0.0,0.0,0.0,0.14166666666666666,0.14178834688510616,0.12418300653594772,0.14348499126106354,0.013577959937756203,4.78711062920025e-07,0.012278461570031282,5.62738185700195e-23,0.0,0.0,0.0,0.0
0_39,0.10416666666666667,0.039454456892352656,0.10457516339869281,0.0421179302045728,0.0037344756912081225,0.013664513080469997,0.006401533476666228,0.01908091630324534,0.0,0.0,0.0,0.0,0.10416666666666667,0.10174266689836188,0.10457516339869281,0.11006589994450562,0.0037344756912081225,4.138701437292346e-07,0.006401533476666228,1.9981804832173493e-22,0.0,0.0,0.0,0.0
