,E_votes_3,E_votes_num,E_votes_mean,E_votes_2,E_votes_std,E_votes_1,E_votes_4,E_likes_mean,E_likes_sum,E_likes_num,E_likes_std,E_dislikes_std,E_dislikes_sum,E_dislikes_num,E_dislikes_mean,E_com_num,E_com_std,E_com_sum,E_com_mean,E_uid,E_target,E_comid
20,7,186,3.0483870967741935,13,1.3204514300328705,48,118,3.5,28.0,8.0,2.0701966780270626,0.3535533905932738,1.0,8.0,0.125,8.0,54.14992415243336,322.0,40.25,11_101,1,11
21,5,133,3.5488721804511276,2,1.0259228322738565,17,109,8.8,88.0,10.0,6.47731082746193,4.376706016578627,36.0,10.0,3.6,10.0,134.65301085877482,1151.0,115.1,11_102,1,11
22,9,105,3.895238095238095,1,0.3375195015394142,0,95,4.142857142857143,87.0,21.0,3.4247001954289993,1.5961262630566064,22.0,21.0,1.0476190476190477,21.0,99.02801431437278,1798.0,85.61904761904762,11_103,1,11
23,88,163,2.7791411042944785,39,0.7858669811523058,11,25,7.111111111111111,64.0,9.0,6.009252125773315,0.927960727138337,8.0,9.0,0.8888888888888888,9.0,56.283755303916166,496.0,55.111111111111114,11_107,1,11
24,16,69,3.217391304347826,10,0.9980799982288251,6,37,5.066666666666666,152.0,30.0,5.6989613895463656,1.0288929437289247,27.0,30.0,0.9,30.0,41.56042547324607,1194.0,39.8,11_108,0,11
25,11,122,1.5737704918032787,36,0.7916718661067103,71,4,4.3023255813953485,370.0,86.0,4.32793869544997,3.480019183241935,298.0,86.0,3.4651162790697674,86.0,102.3946443965425,7676.0,89.25581395348837,11_114,1,11
26,6,89,3.865168539325843,3,0.4314618711679005,0,80,9.625,77.0,8.0,5.50162313711664,4.189698250300543,23.0,8.0,2.875,8.0,101.14054930781083,877.0,109.625,11_116,1,11
27,0,38,4.0,0,0.0,0,38,8.9,267.0,30.0,6.364502851890644,2.1764148522732056,53.0,30.0,1.7666666666666666,30.0,58.941194149899026,2468.0,82.26666666666667,11_119,1,11
28,6,43,3.2093023255813953,5,1.1245769476496212,6,26,3.380952380952381,71.0,21.0,3.9683269834552504,4.860922898850734,45.0,21.0,2.142857142857143,21.0,110.12064812221705,1440.0,68.57142857142857,11_12,1,11
29,8,38,2.4210526315789473,8,1.1998103216616618,12,10,6.9375,111.0,16.0,5.3099748900850114,1.5,14.0,16.0,0.875,16.0,69.29210512990159,767.0,47.9375,11_122,1,11
30,41,164,2.1890243902439024,65,0.9305326791070417,42,16,3.6699029126213594,378.0,103.0,3.493378469009124,2.1232712926745454,202.0,103.0,1.9611650485436893,103.0,52.20181334571626,4634.0,44.99029126213592,11_124,1,11
31,2,21,3.9047619047619047,0,0.3007926037591191,0,19,1.0,1.0,1.0,,,4.0,1.0,4.0,1.0,,66.0,66.0,11_125,1,11
32,175,197,3.020304568527919,9,0.3344107040894992,0,13,3.5,7.0,2.0,3.5355339059327378,0.7071067811865476,1.0,2.0,0.5,2.0,45.96194077712559,83.0,41.5,11_126,1,11
33,13,43,2.1627906976744184,21,0.7537282748393872,8,1,6.909090909090909,152.0,22.0,4.460504892509803,3.0064864940593092,46.0,22.0,2.090909090909091,22.0,142.05657064729272,3378.0,153.54545454545453,11_128,0,11
34,20,49,2.693877551020408,7,1.0646611673957795,10,12,6.310344827586207,183.0,29.0,3.001231274420813,3.6557532766455165,78.0,29.0,2.689655172413793,29.0,45.25399038007806,1912.0,65.93103448275862,11_13,1,11
35,17,39,2.3333333333333335,15,0.7723284457212328,6,1,8.875,71.0,8.0,13.49536957626578,2.659215781283755,14.0,8.0,1.75,8.0,47.234974935346976,360.0,45.0,11_131,1,11
36,30,86,2.0930232558139537,28,0.8626621856275074,26,2,8.714285714285714,183.0,21.0,7.464200272921789,3.6592999590736195,65.0,21.0,3.0952380952380953,21.0,86.86478271538171,2014.0,95.9047619047619,11_135,1,11
37,31,39,3.1538461538461537,1,0.4315493225736374,0,7,4.875,39.0,8.0,3.2705394924123103,1.7525491637693282,18.0,8.0,2.25,8.0,110.62864199008966,769.0,96.125,11_136,1,11
38,22,22,3.0,0,0.0,0,0,,,,,,,,,,,,,11_137,1,11
39,4,14,3.0714285714285716,0,1.2066664642907567,3,7,11.0,110.0,10.0,8.48528137423857,2.973961069759395,22.0,10.0,2.2,10.0,248.96086260918827,1978.0,197.8,11_138,1,11
40,6,147,3.693877551020408,6,0.8160399273232534,9,126,6.45,129.0,20.0,7.667257795670052,5.35674685253142,76.0,20.0,3.8,20.0,29.564336623709316,851.0,42.55,11_139,1,11
41,81,82,2.9878048780487805,1,0.11043152607484652,0,0,13.6,68.0,5.0,4.03732584763727,5.4954526656136355,26.0,5.0,5.2,5.0,186.01962262084075,1062.0,212.4,11_140,1,11
42,15,54,3.4444444444444446,6,0.7688920395955856,1,32,3.8,76.0,20.0,3.4274434234648763,2.494203807145468,46.0,20.0,2.3,20.0,254.35944314255266,3422.0,171.1,11_142,0,11
43,0,24,3.7916666666666665,1,0.7210600087592461,1,22,3.8333333333333335,69.0,18.0,2.9753892478918766,5.404246696158603,75.0,18.0,4.166666666666667,18.0,160.22284318137716,2408.0,133.77777777777777,11_144,1,11
44,21,37,2.2972972972972974,3,0.9679550283649222,12,1,8.4,84.0,10.0,10.606077922063786,2.7507574714370344,17.0,10.0,1.7,10.0,54.763734959064536,592.0,59.2,11_147,1,11
45,1,27,3.6296296296296298,3,0.8388704928078612,1,22,6.764705882352941,115.0,17.0,4.146224363271751,2.7666607606835143,48.0,17.0,2.823529411764706,17.0,39.787024932019946,1248.0,73.41176470588235,11_151,1,11
46,1,245,3.983673469387755,0,0.20178195785191896,1,243,8.115384615384615,422.0,52.0,5.2604847541999815,2.6970600160202363,103.0,52.0,1.9807692307692308,52.0,141.63983997617558,5597.0,107.63461538461539,11_152,1,11
47,51,118,2.6271186440677967,42,0.814364732430872,9,16,4.25,17.0,4.0,2.8722813232690143,1.8257418583505538,20.0,4.0,5.0,4.0,21.700614430625386,173.0,43.25,11_155,1,11
48,55,63,3.0952380952380953,1,0.3461439992297494,0,7,,,,,,,,,,,,,11_159,1,11
49,2,83,3.5060240963855422,6,1.0285378442105377,9,66,8.882352941176471,604.0,68.0,6.114649431048202,3.21660938626535,147.0,68.0,2.161764705882353,68.0,95.51735543220443,8435.0,124.04411764705883,11_16,1,11
50,15,194,3.9072164948453607,0,0.3401454802077858,1,178,6.1,305.0,50.0,3.5297568858873816,2.972595924543435,101.0,50.0,2.02,50.0,35.73528525484157,2768.0,55.36,11_163,1,11
51,17,110,3.8454545454545452,0,0.3631251619428624,0,93,4.5,81.0,18.0,3.91452799348334,0.8555852638929973,8.0,18.0,0.4444444444444444,18.0,17.143855012974253,591.0,32.833333333333336,11_164,1,11
52,12,242,1.177685950413223,16,0.5207698742817879,213,1,7.769230769230769,101.0,13.0,5.7612765679411435,5.490084301814102,80.0,13.0,6.153846153846154,13.0,76.2140205151055,1338.0,102.92307692307692,11_169,1,11
53,154,178,3.0786516853932584,2,0.4040674302155346,2,20,10.0,10.0,1.0,,,5.0,1.0,5.0,1.0,,6.0,6.0,11_170,1,11
54,3,11,3.5454545454545454,1,0.6875516509523286,0,7,3.0,3.0,1.0,,,0.0,1.0,0.0,1.0,,18.0,18.0,11_172,1,11
55,6,18,3.388888888888889,1,0.8498365855987975,1,10,3.25,26.0,8.0,1.2817398889233114,2.416461403433896,9.0,8.0,1.125,8.0,25.759533602698856,305.0,38.125,11_174,0,11
56,3,8,3.625,0,0.5175491695067657,0,5,,,,,,,,,,,,,11_178,0,11
57,37,133,2.857142857142857,35,1.023532631438318,15,46,5.232758620689655,607.0,116.0,4.968348091531096,3.0196135459718154,225.0,116.0,1.9396551724137931,116.0,103.9348411236593,11349.0,97.83620689655173,11_18,1,11
58,46,74,3.0945945945945947,6,0.7055342660128753,3,19,10.333333333333334,93.0,9.0,9.987492177719089,0.0,0.0,9.0,0.0,9.0,28.71894457980268,437.0,48.55555555555556,11_183,1,11
59,47,59,2.9661016949152543,7,0.4535720942168395,0,5,,,,,,,,,,,,,11_184,1,11
60,28,51,3.411764705882353,1,0.5357787076110918,0,22,4.9411764705882355,84.0,17.0,3.249434339913913,2.312052818448168,29.0,17.0,1.7058823529411764,17.0,41.53683694661176,970.0,57.05882352941177,11_186,1,11
61,27,76,2.710526315789474,28,0.8765962882830268,5,16,6.868421052631579,522.0,76.0,5.426704599203603,1.9620969806315662,132.0,76.0,1.736842105263158,76.0,143.84303579724818,13162.0,173.18421052631578,11_19,1,11
62,3,7,3.2857142857142856,1,0.7559289460184545,0,3,,,,,,,,,,,,,11_192,0,11
63,22,75,2.3466666666666667,9,1.1911081977464257,28,16,6.818181818181818,75.0,11.0,4.069844759156836,2.7732488332115266,21.0,11.0,1.9090909090909092,11.0,43.67857806543365,888.0,80.72727272727273,11_194,1,11
64,4,246,2.6219512195121952,4,1.4761249095625892,109,129,9.0,189.0,21.0,5.75325994545701,2.707133433832073,45.0,21.0,2.142857142857143,21.0,88.66979944340314,2716.0,129.33333333333334,11_196,1,11
65,3,16,3.6875,1,0.6020797289396148,0,12,8.0,64.0,8.0,7.131419413913534,1.1877349391654208,5.0,8.0,0.625,8.0,30.406766164316597,464.0,58.0,11_199,0,11
66,18,62,2.2096774193548385,15,1.0579456860178234,21,8,4.444444444444445,40.0,9.0,3.9405301391789633,2.7131367660166177,26.0,9.0,2.888888888888889,9.0,32.09794039775415,481.0,53.44444444444444,11_2,0,11
67,14,72,3.3194444444444446,4,1.045801652064893,9,45,6.333333333333333,133.0,21.0,4.016632088371218,0.9128709291752769,14.0,21.0,0.6666666666666666,21.0,27.517267306184312,1008.0,48.0,11_201,1,11
68,1,36,3.9166666666666665,1,0.36839419880650376,0,34,5.888888888888889,53.0,9.0,2.7131367660166177,0.7071067811865476,6.0,9.0,0.6666666666666666,9.0,34.23610829389215,440.0,48.888888888888886,11_203,1,11
69,36,201,3.557213930348259,10,0.823383385188806,11,144,8.24,618.0,75.0,7.059285623454653,1.6305639327357702,88.0,75.0,1.1733333333333333,75.0,96.33351974794144,7203.0,96.04,11_209,1,11
70,72,149,2.4966442953020134,16,1.0373052475878628,40,21,5.972972972972973,221.0,37.0,7.751295542203416,1.9273595188014911,63.0,37.0,1.7027027027027026,37.0,216.91959595921966,4662.0,126.0,11_21,1,11
71,1,52,3.769230769230769,1,0.7570682517832988,3,47,4.125,66.0,16.0,4.177319714841085,4.256367778595579,38.0,16.0,2.375,16.0,23.63013612600091,394.0,24.625,11_212,0,11
72,25,184,3.380434782608696,13,1.0332440430769723,21,125,6.0,276.0,46.0,5.094659513211413,3.343824071372453,119.0,46.0,2.5869565217391304,46.0,98.65312284638026,4154.0,90.30434782608695,11_213,1,11
73,64,202,3.6534653465346536,3,0.5073714049631264,0,135,5.666666666666667,119.0,21.0,4.258325179379017,1.3645163106041502,17.0,21.0,0.8095238095238095,21.0,23.525062623265672,969.0,46.142857142857146,11_214,1,11
74,89,146,3.232876712328767,7,0.6329034996488307,3,47,7.416666666666667,89.0,12.0,5.035480176314927,1.164500152881315,13.0,12.0,1.0833333333333333,12.0,56.766400647075045,1028.0,85.66666666666667,11_216,1,11
75,94,138,3.0,13,0.6727218924084063,6,25,9.533333333333333,143.0,15.0,8.408046033130296,1.345185418269098,10.0,15.0,0.6666666666666666,15.0,183.2889210275094,2136.0,142.4,11_217,1,11
76,6,129,3.9069767441860463,3,0.36318599885932024,0,120,3.76,94.0,25.0,3.7112441759244748,0.6377042156569664,9.0,25.0,0.36,25.0,33.88175516901882,771.0,30.84,11_218,1,11
