uid,votes_3,votes_num,votes_mean,votes_2,votes_std,votes_1,votes_4,likes_mean,likes_sum,likes_num,likes_std,dislikes_std,dislikes_sum,dislikes_num,dislikes_mean,com_num,com_std,com_sum,com_mean
0_18,484.0,1152.0,2.9574652777777777,204.0,0.9203349023134192,103.0,361.0,4.222222222222222,1102.0,261.0,3.0147784145586694,1.1365767289418616,185.0,261.0,0.7088122605363985,258.0,44.80193931602334,14108.0,54.68217054263566
0_25,484.0,1152.0,2.9574652777777777,204.0,0.9203349023134192,103.0,361.0,4.222222222222222,1102.0,261.0,3.0147784145586694,1.1365767289418616,185.0,261.0,0.7088122605363985,258.0,44.80193931602334,14108.0,54.68217054263566
0_259,484.0,1152.0,2.9574652777777777,204.0,0.9203349023134192,103.0,361.0,4.222222222222222,1102.0,261.0,3.0147784145586694,1.1365767289418616,185.0,261.0,0.7088122605363985,258.0,44.80193931602334,14108.0,54.68217054263566
0_271,484.0,1152.0,2.9574652777777777,204.0,0.9203349023134192,103.0,361.0,4.222222222222222,1102.0,261.0,3.0147784145586694,1.1365767289418616,185.0,261.0,0.7088122605363985,258.0,44.80193931602334,14108.0,54.68217054263566
0_272,484.0,1152.0,2.9574652777777777,204.0,0.9203349023134192,103.0,361.0,4.222222222222222,1102.0,261.0,3.0147784145586694,1.1365767289418616,185.0,261.0,0.7088122605363985,258.0,44.80193931602334,14108.0,54.68217054263566
0_277,484.0,1152.0,2.9574652777777777,204.0,0.9203349023134192,103.0,361.0,4.222222222222222,1102.0,261.0,3.0147784145586694,1.1365767289418616,185.0,261.0,0.7088122605363985,258.0,44.80193931602334,14108.0,54.68217054263566
0_278,484.0,1152.0,2.9574652777777777,204.0,0.9203349023134192,103.0,361.0,4.222222222222222,1102.0,261.0,3.0147784145586694,1.1365767289418616,185.0,261.0,0.7088122605363985,258.0,44.80193931602334,14108.0,54.68217054263566
0_28,484.0,1152.0,2.9574652777777777,204.0,0.9203349023134192,103.0,361.0,4.222222222222222,1102.0,261.0,3.0147784145586694,1.1365767289418616,185.0,261.0,0.7088122605363985,258.0,44.80193931602334,14108.0,54.68217054263566
0_31,484.0,1152.0,2.9574652777777777,204.0,0.9203349023134192,103.0,361.0,4.222222222222222,1102.0,261.0,3.0147784145586694,1.1365767289418616,185.0,261.0,0.7088122605363985,258.0,44.80193931602334,14108.0,54.68217054263566
0_38,484.0,1152.0,2.9574652777777777,204.0,0.9203349023134192,103.0,361.0,4.222222222222222,1102.0,261.0,3.0147784145586694,1.1365767289418616,185.0,261.0,0.7088122605363985,258.0,44.80193931602334,14108.0,54.68217054263566
0_39,484.0,1152.0,2.9574652777777777,204.0,0.9203349023134192,103.0,361.0,4.222222222222222,1102.0,261.0,3.0147784145586694,1.1365767289418616,185.0,261.0,0.7088122605363985,258.0,44.80193931602334,14108.0,54.68217054263566
0_48,484.0,1152.0,2.9574652777777777,204.0,0.9203349023134192,103.0,361.0,4.222222222222222,1102.0,261.0,3.0147784145586694,1.1365767289418616,185.0,261.0,0.7088122605363985,258.0,44.80193931602334,14108.0,54.68217054263566
0_62,484.0,1152.0,2.9574652777777777,204.0,0.9203349023134192,103.0,361.0,4.222222222222222,1102.0,261.0,3.0147784145586694,1.1365767289418616,185.0,261.0,0.7088122605363985,258.0,44.80193931602334,14108.0,54.68217054263566
11_10,3573.0,14687.0,3.2359229250357457,1411.0,1.0147867358950111,1609.0,8094.0,6.440161527165932,17543.0,2724.0,5.783943428990714,2.9350715313652262,4781.0,2724.0,1.7551395007342143,2722.0,108.32977881968078,226443.0,83.18993387215284
11_100,3573.0,14687.0,3.2359229250357457,1411.0,1.0147867358950111,1609.0,8094.0,6.440161527165932,17543.0,2724.0,5.783943428990714,2.9350715313652262,4781.0,2724.0,1.7551395007342143,2722.0,108.32977881968078,226443.0,83.18993387215284
11_101,3573.0,14687.0,3.2359229250357457,1411.0,1.0147867358950111,1609.0,8094.0,6.440161527165932,17543.0,2724.0,5.783943428990714,2.9350715313652262,4781.0,2724.0,1.7551395007342143,2722.0,108.32977881968078,226443.0,83.18993387215284
11_102,3573.0,14687.0,3.2359229250357457,1411.0,1.0147867358950111,1609.0,8094.0,6.440161527165932,17543.0,2724.0,5.783943428990714,2.9350715313652262,4781.0,2724.0,1.7551395007342143,2722.0,108.32977881968078,226443.0,83.18993387215284
11_103,3573.0,14687.0,3.2359229250357457,1411.0,1.0147867358950111,1609.0,8094.0,6.440161527165932,17543.0,2724.0,5.783943428990714,2.9350715313652262,4781.0,2724.0,1.7551395007342143,2722.0,108.32977881968078,226443.0,83.18993387215284
11_105,3573.0,14687.0,3.2359229250357457,1411.0,1.0147867358950111,1609.0,8094.0,6.440161527165932,17543.0,2724.0,5.783943428990714,2.9350715313652262,4781.0,2724.0,1.7551395007342143,2722.0,108.32977881968078,226443.0,83.18993387215284
11_107,3573.0,14687.0,3.2359229250357457,1411.0,1.0147867358950111,1609.0,8094.0,6.440161527165932,17543.0,2724.0,5.783943428990714,2.9350715313652262,4781.0,2724.0,1.7551395007342143,2722.0,108.32977881968078,226443.0,83.18993387215284
11_114,3573.0,14687.0,3.2359229250357457,1411.0,1.0147867358950111,1609.0,8094.0,6.440161527165932,17543.0,2724.0,5.783943428990714,2.9350715313652262,4781.0,2724.0,1.7551395007342143,2722.0,108.32977881968078,226443.0,83.18993387215284
11_119,3573.0,14687.0,3.2359229250357457,1411.0,1.0147867358950111,1609.0,8094.0,6.440161527165932,17543.0,2724.0,5.783943428990714,2.9350715313652262,4781.0,2724.0,1.7551395007342143,2722.0,108.32977881968078,226443.0,83.18993387215284
11_122,3573.0,14687.0,3.2359229250357457,1411.0,1.0147867358950111,1609.0,8094.0,6.440161527165932,17543.0,2724.0,5.783943428990714,2.9350715313652262,4781.0,2724.0,1.7551395007342143,2722.0,108.32977881968078,226443.0,83.18993387215284
11_124,3573.0,14687.0,3.2359229250357457,1411.0,1.0147867358950111,1609.0,8094.0,6.440161527165932,17543.0,2724.0,5.783943428990714,2.9350715313652262,4781.0,2724.0,1.7551395007342143,2722.0,108.32977881968078,226443.0,83.18993387215284
11_126,3573.0,14687.0,3.2359229250357457,1411.0,1.0147867358950111,1609.0,8094.0,6.440161527165932,17543.0,2724.0,5.783943428990714,2.9350715313652262,4781.0,2724.0,1.7551395007342143,2722.0,108.32977881968078,226443.0,83.18993387215284
11_13,3573.0,14687.0,3.2359229250357457,1411.0,1.0147867358950111,1609.0,8094.0,6.440161527165932,17543.0,2724.0,5.783943428990714,2.9350715313652262,4781.0,2724.0,1.7551395007342143,2722.0,108.32977881968078,226443.0,83.18993387215284
11_131,3573.0,14687.0,3.2359229250357457,1411.0,1.0147867358950111,1609.0,8094.0,6.440161527165932,17543.0,2724.0,5.783943428990714,2.9350715313652262,4781.0,2724.0,1.7551395007342143,2722.0,108.32977881968078,226443.0,83.18993387215284
11_135,3573.0,14687.0,3.2359229250357457,1411.0,1.0147867358950111,1609.0,8094.0,6.440161527165932,17543.0,2724.0,5.783943428990714,2.9350715313652262,4781.0,2724.0,1.7551395007342143,2722.0,108.32977881968078,226443.0,83.18993387215284
11_137,3573.0,14687.0,3.2359229250357457,1411.0,1.0147867358950111,1609.0,8094.0,6.440161527165932,17543.0,2724.0,5.783943428990714,2.9350715313652262,4781.0,2724.0,1.7551395007342143,2722.0,108.32977881968078,226443.0,83.18993387215284
11_139,3573.0,14687.0,3.2359229250357457,1411.0,1.0147867358950111,1609.0,8094.0,6.440161527165932,17543.0,2724.0,5.783943428990714,2.9350715313652262,4781.0,2724.0,1.7551395007342143,2722.0,108.32977881968078,226443.0,83.18993387215284
11_140,3573.0,14687.0,3.2359229250357457,1411.0,1.0147867358950111,1609.0,8094.0,6.440161527165932,17543.0,2724.0,5.783943428990714,2.9350715313652262,4781.0,2724.0,1.7551395007342143,2722.0,108.32977881968078,226443.0,83.18993387215284
11_144,3573.0,14687.0,3.2359229250357457,1411.0,1.0147867358950111,1609.0,8094.0,6.440161527165932,17543.0,2724.0,5.783943428990714,2.9350715313652262,4781.0,2724.0,1.7551395007342143,2722.0,108.32977881968078,226443.0,83.18993387215284
11_151,3573.0,14687.0,3.2359229250357457,1411.0,1.0147867358950111,1609.0,8094.0,6.440161527165932,17543.0,2724.0,5.783943428990714,2.9350715313652262,4781.0,2724.0,1.7551395007342143,2722.0,108.32977881968078,226443.0,83.18993387215284
