,E_votes_2,E_votes_num,E_votes_3,E_votes_1,E_votes_mean,E_votes_4,E_votes_std,E_likes_num,E_likes_mean,E_likes_std,E_likes_sum,E_dislikes_num,E_dislikes_std,E_dislikes_sum,E_dislikes_mean,E_com_std,E_com_num,E_com_mean,E_com_sum,E_companyAlias,E_employee,E_first_date,E_lastParticipationDate,E_stillExists,E_churn,E_comp_short,E_uid
18,1,129,116,1,3.062015503875969,11,0.3480287789935644,2.0,4.5,3.5355339059327378,9.0,2.0,0.0,0.0,0.0,21.213203435596427,2,50.0,100,5370af43e4b0cff95558c12a,62,2016-05-04 00:00:00,2017-03-17 00:00:00,True,0,0,0_62
19,2,35,2,1,3.742857142857143,30,0.7005400077947068,17.0,5.529411764705882,4.017425280245165,94.0,17.0,0.562295714538387,4.0,0.23529411764705882,48.23967429896877,17,86.76470588235294,1475,5370af43e4b0cff95558c12a,259,2016-10-13 00:00:00,2017-03-19 00:00:00,True,0,0,0_259
20,3,27,10,0,3.4074074074074074,14,0.6938886664887107,2.0,4.5,2.1213203435596424,9.0,2.0,0.0,0.0,0.0,24.041630560342615,2,48.0,96,5370af43e4b0cff95558c12a,268,2016-11-09 00:00:00,2017-01-16 00:00:00,True,0,0,0_268
21,0,12,2,0,3.8333333333333335,10,0.38924947208076144,2.0,4.5,0.7071067811865476,9.0,2.0,0.7071067811865476,1.0,0.5,41.012193308819754,2,81.0,162,5370af43e4b0cff95558c12a,269,2016-11-17 00:00:00,2017-03-10 11:54:38,True,0,0,0_269
22,0,12,5,0,3.5833333333333335,7,0.5149286505444373,3.0,2.3333333333333335,1.1547005383792515,7.0,3.0,0.5773502691896258,1.0,0.3333333333333333,6.658328118479393,3,8.666666666666666,26,5370af43e4b0cff95558c12a,271,2016-11-22 00:00:00,2017-03-20 00:00:00,True,0,0,0_271
23,5,21,9,2,2.8095238095238093,5,0.9283882603225668,7.0,4.428571428571429,4.466808810815721,31.0,7.0,0.0,0.0,0.0,26.812399405960704,7,22.714285714285715,159,5370af43e4b0cff95558c12a,272,2016-11-29 00:00:00,2017-01-18 07:21:26,False,1,0,0_272
24,5,21,9,2,2.8095238095238093,5,0.9283882603225668,7.0,4.428571428571429,4.466808810815721,31.0,7.0,0.0,0.0,0.0,26.812399405960704,7,22.714285714285715,159,5370af43e4b0cff95558c12a,272,2016-11-29 00:00:00,2017-01-18 00:00:00,False,1,0,0_272
25,14,36,6,12,2.0555555555555554,4,0.983998967608182,34.0,0.3235294117647059,0.8060599359358184,11.0,34.0,0.32703497008386434,4.0,0.11764705882352941,20.232340289321147,34,23.470588235294116,798,54d43612e4b0f6a40755d93e,4,2015-02-06 00:00:00,2017-03-17 19:24:20,True,0,3,3_4
26,23,107,66,4,2.8411214953271027,14,0.6888537472494651,17.0,0.47058823529411764,0.7174300539794393,8.0,17.0,0.4372373160976031,4.0,0.23529411764705882,13.3066215272919,17,21.235294117647058,361,54d43612e4b0f6a40755d93e,5,2015-02-06 00:00:00,2017-02-09 00:00:00,True,0,3,3_5
27,6,48,25,3,3.0416666666666665,14,0.824061899485953,17.0,0.5294117647058824,0.8744746321952063,9.0,17.0,0.4372373160976031,4.0,0.23529411764705882,18.621224449536072,17,20.0,340,54d43612e4b0f6a40755d93e,12,2016-05-16 00:00:00,2017-01-03 09:29:44,True,0,3,3_12
