,CEG_interactions_degree,CEG_interactions_w_degree,CEG_interactions_degree_u,CEG_interactions_w_degree_u,CEG_interactions_betweenness_centrality,CEG_interactions_w_betweenness_centrality,CEG_interactions_betweenness_centrality_u,CEG_interactions_w_betweenness_centrality_u,CEG_interactions_NMF1_d,CEG_interactions_NMF1_u,CEG_interactions_NMF2_d,CEG_interactions_NMF2_u,CEG_rel_agree_degree,CEG_rel_agree_w_degree,CEG_rel_agree_degree_u,CEG_rel_agree_w_degree_u,CEG_rel_agree_betweenness_centrality,CEG_rel_agree_w_betweenness_centrality,CEG_rel_agree_betweenness_centrality_u,CEG_rel_agree_w_betweenness_centrality_u,CEG_rel_agree_NMF1_d,CEG_rel_agree_NMF1_u,CEG_rel_agree_NMF2_d,CEG_rel_agree_NMF2_u
0_39,0.55,0.3514285714285714,0.7272727272727273,0.36507936507936506,0.08620689655172413,0.3021582733812949,0.1627188465499485,0.12408759124087587,2.3868885869399055,2.1557807335980823,2.567627053090854,2.539565751831115,0.55,0.5374337030610487,0.7272727272727273,0.7210046431063103,0.08620689655172413,0.0,0.1627188465499485,0.02956336783965282,0.7969656962904673,0.6217033837082563,0.6557834022318559,0.666781830768172
0_48,0.45,0.1657142857142857,0.5454545454545454,0.09523809523809523,0.04756242568370986,0.9064748201438848,0.04016477857878476,0.6885644768856447,0.6812302873751458,0.9667162083301852,0.16588212950094564,0.0,0.45,0.46911952358908904,0.5454545454545454,0.4799480357013977,0.04756242568370986,0.17475728155339806,0.04016477857878476,0.11346775646028627,0.0,0.0,1.2159628499180188,1.0593130320514308
0_62,0.25,0.045714285714285714,0.2727272727272727,0.04365079365079365,0.0,1.0,0.01235839340885685,0.4829683698296836,0.4056881019422804,0.5199714339594348,1.0594529031388589,0.6478718465167038,0.25,0.15536431533918216,0.2727272727272727,0.09093752255394903,0.0,0.11650485436893204,0.01235839340885685,0.5655377068020617,0.034909537890424065,0.11092757036195391,0.7524710457605008,0.57210853308129
3_5,,,,,,,,,0.5999763906111604,0.8359616420806619,1.1824922063667263,1.3604390529938875,,,,,,,,,7.143900926395577,0.713868510513341,0.3737404395917898,0.15762475286751984
4_101,0.7818181818181819,0.5704918032786885,0.9285714285714286,0.3659244917715392,0.4332575654987571,0.6385248876200517,0.4500419269411491,0.29406820002440215,11.85649710666582,0.03861788967707909,9.331020248855008,0.021102096421623168,0.7818181818181819,0.7758686394928301,0.9285714285714286,0.9241689070002853,0.4332575654987571,0.024237365588350865,0.4500419269411491,4.632744323475101e-05,0.37606527682211977,0.16274782414082156,1.1180627665604146,0.0
4_110,0.9212121212121213,0.5153005464480874,1.0,0.542594385285576,0.5311893403984473,0.4378235386849766,0.9454949014470097,0.5294593297532106,3.7035006752076436,0.30325137984074585,5.014968804581718,0.0,0.9212121212121213,0.7977257094636786,1.0,0.8587088704504405,0.5311893403984473,0.4734514116421935,0.9454949014470097,0.0004597269161564146,0.45553790339147476,0.2619609435215183,0.7375966085440401,0.013327849786273653
4_112,0.8121212121212121,0.38579234972677595,0.826530612244898,0.37899322362052273,0.40190827426784614,0.5608024556558603,0.5932340903776792,0.6561284419873554,5.218526885113939,1.2091873513664164,0.6418931605975573,0.7632286484784992,0.8121212121212121,0.7911308748389553,0.826530612244898,0.800070366595928,0.40190827426784614,0.006456309413587411,0.5932340903776792,1.3849761754977545e-05,0.6765636189414608,0.5766978543737569,0.6274749348426986,0.6381474850572894
4_117,0.7636363636363637,0.21174863387978143,0.7959183673469388,0.23281703775411422,0.22028262444479374,0.5509437491521724,0.21699550077254293,0.4147068854294839,1.7421783039833716,0.03633720540240831,1.640014530242715,0.23169560903136296,0.7636363636363637,0.823040793939769,0.7959183673469388,0.8434135183000204,0.22028262444479374,7.589072324097731e-05,0.21699550077254293,6.463361659506583e-11,0.5269980442387568,0.46353239074251606,0.8584682071134233,0.0
4_124,0.11515151515151516,0.011202185792349727,0.19387755102040816,0.01984511132623427,0.0,0.0,0.001082361168312865,0.032451407941421866,0.23823537081799226,0.010640498579170562,0.24305243617938668,0.0,0.11515151515151516,0.12793152740277142,0.19387755102040816,0.21056432141094641,0.0,0.0,0.001082361168312865,0.0,0.5646617330441766,0.0,0.0,0.0
4_127,0.048484848484848485,0.003278688524590164,0.08163265306122448,0.005808325266214908,0.0,0.0,0.00038299174230476595,0.007313157955708352,0.010550643878080074,3.294526149421801,0.11280524917206632,9.632623093197836,0.048484848484848485,0.021321921233795234,0.08163265306122448,0.03509405356849107,0.0,0.0,0.00038299174230476595,3.160125626006927e-06,0.0693465516793106,0.4352771386597333,0.014314161553754428,0.7998559804074242
4_130,0.34545454545454546,0.0592896174863388,0.42857142857142855,0.07647628267182963,0.013440575103270657,0.17237767977775764,0.016348684810663424,0.11630595855753464,0.3613074282092997,1.059574792189448,0.39550010089154886,0.43241413435152837,0.34545454545454546,0.2989863584648985,0.42857142857142855,0.35386504014895165,0.013440575103270657,0.002749208756940183,0.016348684810663424,0.0004999738762493992,0.4302105419220611,0.7242987613927357,0.14630971545030125,0.28775253615375934
4_132,0.6606060606060606,0.1726775956284153,0.7040816326530612,0.16989351403678607,0.12158056231591308,0.24490962487313,0.10188524885486976,0.12246912956041259,1.8272056577385067,0.21684965145527518,1.253264644433994,0.697532287879371,0.6606060606060606,0.6723810275600819,0.7040816326530612,0.7070661828059492,0.12158056231591308,0.0038112139712596573,0.10188524885486976,7.87684978244196e-10,0.6930766389275304,0.7711085502473332,0.5271153893095051,0.1829349626464609
4_145,0.04242424242424243,0.001912568306010929,0.07142857142857142,0.003388189738625363,0.0,0.0,0.00019862652257720227,0.027129332772569015,0.056938300205695666,0.6536984248510244,0.02498927252252381,0.18088361874857697,0.04242424242424243,0.03553653538965872,0.07142857142857142,0.05849008928081845,0.0,0.0,0.00019862652257720227,3.4817191593214254e-10,0.19143565600290782,0.5296352225756253,0.0,0.15389571713315628
4_146,0.9212121212121213,0.6275956284153006,0.9693877551020408,0.5595353339787028,0.7140921721650729,0.6080971359671361,1.0,0.613887354550495,2.2307465013042482,0.4788261632903633,7.017770720553813,0.23836788823769886,0.9212121212121213,0.8832027635582279,0.9693877551020408,0.9326054991996795,0.7140921721650729,0.01471680720864095,1.0,2.266357407695898e-06,0.5350632816200068,0.5121206876109528,0.8364098210260085,0.032326854312513864
4_147,0.6848484848484848,0.21475409836065573,0.7244897959183674,0.22265246853823814,0.13490615957527546,0.26579592120336254,0.1531596042628893,0.223639845029612,1.930428368584525,0.6191806932662994,1.2949053627492062,1.9338179570233378,0.6848484848484848,0.6995259478208006,0.7244897959183674,0.7294591906663689,0.13490615957527546,0.0017283780307954816,0.1531596042628893,2.1946785535408332e-10,0.6505137432354152,0.5279495878793006,0.4613821871279529,0.7261150540657739
4_148,0.14545454545454545,0.012841530054644808,0.23469387755102042,0.022265246853823813,0.0012416842584375546,0.03263806832026824,0.005164679554488782,0.05162148772552068,0.1811398901570505,0.06791796125957163,0.16095751019225252,0.23623519944577942,0.14545454545454545,0.0961855557880096,0.23469387755102042,0.15831317498674857,0.0012416842584375546,0.011526321326954575,0.005164679554488782,0.004707901851672513,0.34217357155973915,0.4702048422601532,0.0,0.0380328286138114
4_149,0.4,0.058469945355191254,0.46938775510204084,0.0701839303000968,0.07723261753724608,0.32700403028211983,0.03066680283991058,0.1687701795714924,0.9562060723447561,16.25319521931263,0.1314549519439647,1.5600741072038902,0.4,0.3742993276386683,0.46938775510204084,0.426751667314117,0.07723261753724608,0.0010416169934714856,0.03066680283991058,1.9321951053733965e-06,0.7618347078363221,0.46991850308589866,0.0,1.1013313120309018
4_151,0.3090909090909091,0.03551912568306011,0.3979591836734694,0.04114230396902226,0.03342554604232395,0.22885071377242946,0.015108728778469456,0.10716912334569036,0.8067040225248094,0.27061834286392633,0.17263277732594373,0.4228906775864382,0.3090909090909091,0.3170366621548839,0.3979591836734694,0.4093192152718609,0.03342554604232395,0.00011448274339348462,0.015108728778469456,5.381695864985066e-06,0.6466634103002283,0.5095368351064217,0.19322325448805505,0.15743120895978185
4_153,0.15757575757575756,0.009016393442622951,0.23469387755102042,0.01452081316553727,0.0027549276354993245,0.13898895442794212,0.0036111374226305876,0.09413689093171528,0.12252410889698272,0.12869991832826572,0.11831702152090808,0.17519116409280217,0.15757575757575756,0.11016325970794204,0.23469387755102042,0.15792324105820982,0.0027549276354993245,0.005670795271253899,0.0036111374226305876,0.00039360088743912487,0.12787181580781035,0.23176264545038192,0.055130288077299174,0.02416806452046011
4_157,0.6484848484848484,0.17814207650273223,0.7244897959183674,0.2042594385285576,0.16095665075915022,0.30986221485903875,0.14260707854318005,0.1291866081309508,2.062368898076111,0.0,2.694691810789994,0.03701856015385419,0.6484848484848484,0.6203888366157084,0.7244897959183674,0.68131189005792,0.16095665075915022,0.024152145717481473,0.14260707854318005,5.0734446804235926e-06,0.3610960325128958,0.0,0.8706065217289541,0.0
4_162,0.12121212121212122,0.010382513661202186,0.1836734693877551,0.016940948693126814,0.0,0.05173493039186622,6.989789650810638e-05,0.030611891563770855,0.00780386839087022,0.8072896793487667,0.04684466885261591,1.1331495973140995,0.12121212121212122,0.1421461415586349,0.1836734693877551,0.21056432141094641,0.0,0.0,6.989789650810638e-05,0.0,0.14661378615702797,0.5861815608960179,0.0,0.3486840797696145
4_173,0.47878787878787876,0.0907103825136612,0.5510204081632653,0.1234269119070668,0.04764029660420874,0.28848618302452234,0.0513650143053213,0.20129190113909914,1.736581633776292,1.7903910793915585,0.844657437335361,0.6995403511071924,0.47878787878787876,0.4736868519975288,0.5510204081632653,0.5595302275809045,0.04764029660420874,0.004284432070122541,0.0513650143053213,2.0579164871937555e-10,0.6984862200688285,0.6078330868048369,0.33653533535786007,0.3944362092061553
4_174,0.26666666666666666,0.02103825136612022,0.3673469387755102,0.028557599225556632,0.0069685277552110495,0.20296061698024737,0.006772596679717768,0.13544437619544256,0.24611591127281665,0.004390832428043046,0.0,0.10037594393004272,0.26666666666666666,0.28784593665623565,0.3673469387755102,0.39578293746687154,0.0069685277552110495,0.0,0.006772596679717768,0.0,0.3074956135210183,0.2565494885729176,0.0,0.0
4_177,0.503030303030303,0.08551912568306011,0.6224489795918368,0.06147144240077444,0.039394950749155354,0.5173259467922494,0.0885281793414074,0.5276530435559527,1.99112233671768,0.23780845388242172,0.8369078769542063,0.46947339514638464,0.503030303030303,0.4783301024932605,0.6224489795918368,0.5892876495042458,0.039394950749155354,0.0,0.0885281793414074,8.63752527494521e-06,0.5892370476179986,0.8103701749010117,0.537348930695727,0.2838979403990422
4_181,0.6787878787878788,0.14726775956284152,0.826530612244898,0.22410454985479186,0.1508848203967392,0.49119652837432526,0.32016059503694083,0.30139738745260336,0.4749759772471235,1.5801380315167979,0.5344461892983654,1.9839277374054063,0.6787878787878788,0.7053678426522748,0.826530612244898,0.8588318797970531,0.1508848203967392,6.915886277872445e-05,0.32016059503694083,1.5208128369363107e-08,0.46786862903943655,0.5363674617858945,0.43353518880213826,0.9000005188720595
4_184,0.03636363636363636,0.001639344262295082,0.061224489795918366,0.002904162633107454,0.0,0.0,0.0,0.012111968020316648,0.03967600405684374,0.03918764832797014,0.03059730634911817,0.02355562188030409,0.03636363636363636,0.021321921233795234,0.061224489795918366,0.03509405356849107,0.0,0.0,0.0,6.0799604630659584e-05,0.08141015459823775,0.0729449277174847,0.016418768816967938,0.0
4_19,0.5757575757575758,0.09754098360655737,0.673469387755102,0.11665053242981607,0.09606403623209067,0.4822838203137505,0.14771316592548694,0.4175799059880077,0.165754033439482,0.001980509277394559,1.5089514361169132,0.040745360638747084,0.5757575757575758,0.611364644350225,0.673469387755102,0.6747820761404645,0.09606403623209067,0.0013896155724946852,0.14771316592548694,3.2293698591589186e-06,0.49613632918784556,0.08257642599855723,0.5138826720067105,0.008180338116557087
