uid,CE_votes_3,CE_votes_num,CE_votes_mean,CE_votes_2,CE_votes_std,CE_votes_1,CE_votes_4,CE_likes_mean,CE_likes_sum,CE_likes_num,CE_likes_std,CE_dislikes_std,CE_dislikes_sum,CE_dislikes_num,CE_dislikes_mean,CE_com_num,CE_com_std,CE_com_sum,CE_com_mean,CE_comid
0_18,103,184,3.244565217391304,15,0.6444151210070006,2,64,5.326530612244898,261.0,49.0,3.2620785494198374,0.8144110179279554,29.0,49.0,0.5918367346938775,49.0,31.002756625296186,2473.0,50.46938775510204,0
0_25,24,91,3.32967032967033,11,0.8951094911914416,5,51,4.695652173913044,108.0,23.0,2.851391727316451,1.3292096971404967,16.0,23.0,0.6956521739130435,20.0,17.189041796875614,522.0,26.1,0
0_259,3,43,3.6511627906976742,3,0.813098744376298,2,35,5.2727272727272725,116.0,22.0,3.781934730138835,0.6579516949597688,8.0,22.0,0.36363636363636365,22.0,59.14850340072397,2124.0,96.54545454545455,0
0_271,5,12,3.5833333333333335,0,0.5149286505444373,0,7,2.3333333333333335,7.0,3.0,1.1547005383792515,0.5773502691896258,1.0,3.0,0.3333333333333333,3.0,6.658328118479393,26.0,8.666666666666666,0
0_272,12,33,2.4242424242424243,5,1.1188806636071338,10,6,3.6,36.0,10.0,3.8930136855083823,0.6324555320336759,2.0,10.0,0.2,10.0,27.217028983095613,269.0,26.9,0
0_277,0,6,4.0,0,0.0,0,6,2.0,4.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,2.1213203435596424,21.0,10.5,0
0_278,7,9,2.7777777777777777,2,0.4409585518440984,0,0,3.0,6.0,2.0,1.4142135623730951,2.8284271247461903,4.0,2.0,2.0,2.0,36.062445840513924,95.0,47.5,0
0_28,5,10,3.1,2,0.7378647873726218,0,3,5.75,46.0,8.0,2.9154759474226504,0.7440238091428449,3.0,8.0,0.375,8.0,68.10797624780396,513.0,64.125,0
0_31,40,210,3.4380952380952383,27,0.8575452841286483,8,135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0_38,117,311,2.2282958199356915,118,0.8167421450881025,66,10,3.8,342.0,90.0,2.610264957062293,1.0520178577541857,75.0,90.0,0.8333333333333334,90.0,48.62100880153456,5900.0,65.55555555555556,0
0_39,34,66,2.772727272727273,16,0.8189196362460546,5,11,3.125,75.0,24.0,2.576018160886563,2.063748524170155,35.0,24.0,1.4583333333333333,24.0,25.927854195602187,826.0,34.416666666666664,0
0_48,10,39,3.3076923076923075,4,0.9501757774733925,3,22,3.64,91.0,25.0,2.8994252303976853,0.7681145747868608,11.0,25.0,0.44,25.0,32.37169545554676,1238.0,49.52,0
0_62,124,138,3.0434782608695654,1,0.37958035255991274,2,11,3.3333333333333335,10.0,3.0,3.214550253664318,0.5773502691896258,1.0,3.0,0.3333333333333333,3.0,32.020826556060875,101.0,33.666666666666664,0
11_10,15,43,3.511627906976744,3,0.6314040674128689,0,25,2.6666666666666665,8.0,3.0,2.5166114784235836,4.932882862316247,10.0,3.0,3.3333333333333335,3.0,11.67618659209133,259.0,86.33333333333333,11
11_100,0,125,4.0,0,0.0,0,125,5.0344827586206895,146.0,29.0,3.4998240631360895,0.7018624063435965,21.0,29.0,0.7241379310344828,29.0,64.12710592476253,1537.0,53.0,11
11_101,7,242,2.809917355371901,13,1.4131219643355573,85,137,5.2727272727272725,58.0,11.0,6.325992555969523,2.400757456228422,9.0,11.0,0.8181818181818182,11.0,65.28065284878541,563.0,51.18181818181818,11
11_102,5,179,3.664804469273743,2,0.9053159736328252,17,155,11.25,135.0,12.0,8.324389139477717,4.092676385936225,39.0,12.0,3.25,12.0,131.12057832623398,1564.0,130.33333333333334,11
11_103,9,151,3.9271523178807946,1,0.2851745137828042,0,141,5.185185185185185,140.0,27.0,5.80475294006185,1.917827593414663,35.0,27.0,1.2962962962962963,27.0,89.9427168129377,2106.0,78.0,11
11_105,34,68,2.9705882352941178,18,0.7117476543281447,0,16,5.166666666666667,31.0,6.0,5.231315959361149,1.9663841605003503,8.0,6.0,1.3333333333333333,6.0,27.52756194556043,283.0,47.166666666666664,11
11_107,98,182,2.791208791208791,43,0.7868600936596737,12,29,8.166666666666666,98.0,12.0,5.573204290227127,0.90033663737852,11.0,12.0,0.9166666666666666,12.0,60.94010969547864,812.0,67.66666666666667,11
11_114,11,143,1.5384615384615385,43,0.7577694358289259,85,4,4.0673076923076925,423.0,104.0,4.398288332285736,3.4106541327352637,344.0,104.0,3.3076923076923075,104.0,102.31331749347099,9084.0,87.34615384615384,11
11_119,0,45,4.0,0,0.0,0,45,8.694444444444445,313.0,36.0,5.912792158626169,2.112697816416741,64.0,36.0,1.7777777777777777,36.0,56.15208938995183,2814.0,78.16666666666667,11
